Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price,Car_age,Price_per_year,KM_per_year,Brand
Hyundai Creta,SX BSVI,2022,36000,Petrol,Manual,1100000.0,4,275000.0,9000.0,Hyundai
Honda Jazz,S,2012,100000,Petrol,Manual,150000.0,14,10714.285714285714,7142.857142857143,Honda
MG Gloster,Desert Storm 4x2 6Str,2024,34000,Diesel,Automatic,3125000.0,2,1562500.0,17000.0,MG
Kia Sonet,HTX Turbo iMT BSVI,2021,48752,Petrol,Manual,690000.0,5,138000.0,9750.4,Kia
Hyundai Creta,1.6 SX Option,2018,109975,Petrol,Manual,640000.0,8,80000.0,13746.875,Hyundai
Maruti Suzuki Swift,LXI Option,2015,40000,Petrol,Manual,325000.0,11,29545.454545454544,3636.3636363636365,Maruti Suzuki
Mercedes-Benz E-Class,E 200 CGI,2016,38000,Petrol,Automatic,1675000.0,10,167500.0,3800.0,Mercedes-Benz
Kia Seltos,HTK Plus D,2021,107115,Diesel,Manual,755000.0,5,151000.0,21423.0,Kia
Hyundai Grand i10,Magna,2017,50000,Petrol,Manual,319000.0,9,35444.444444444445,5555.555555555556,Hyundai
Maruti Suzuki Swift,VXI,2015,50000,Petrol,Manual,270000.0,11,24545.454545454544,4545.454545454545,Maruti Suzuki
Mahindra XUV300,W6 Sunroof BSVI,2022,83000,Petrol,Manual,695000.0,4,173750.0,20750.0,Mahindra
Lexus ES,300h Luxury 2020-2022,2020,65000,Petrol,Automatic,3245000.0000000005,6,540833.3333333334,10833.333333333334,Lexus
Hyundai Creta,1.6 SX Automatic,2019,73000,Petrol,Automatic,850000.0,7,121428.57142857143,10428.57142857143,Hyundai
Kia Seltos,GTX Plus S Turbo DCT,2019,74991,Petrol,Automatic,977000.0,7,139571.42857142858,10713.0,Kia
Mercedes-Benz E-Class,Exclusive E 200 BSIV,2017,34000,Petrol,Automatic,2490000.0,9,276666.6666666667,3777.777777777778,Mercedes-Benz
MG Hector,Select Pro CVT 2023-2025,2024,11000,Petrol,Automatic,1550000.0,2,775000.0,5500.0,MG
Ford Ecosport,Thunder Edition Petrol BSIV,2019,75000,Petrol,Manual,475000.0,7,67857.14285714286,10714.285714285714,Ford
Hyundai Creta,EX(O) iVT,2025,11000,Petrol,Automatic,1435000.0,1,1435000.0,11000.0,Hyundai
Maruti Suzuki Swift,1.2 VXi BSII,2010,40000,Petrol,Manual,180000.0,16,11250.0,2500.0,Maruti Suzuki
Honda WR-V,i-VTEC VX,2019,68000,Petrol,Manual,570000.0,7,81428.57142857143,9714.285714285714,Honda
Hyundai Grand i10,1.2 Kappa Magna BSIV,2018,62269,Petrol,Manual,347000.0,8,43375.0,7783.625,Hyundai
MG Hector Plus,Sharp Diesel MT,2022,44951,Diesel,Manual,1132000.0,4,283000.0,11237.75,MG
Maruti Suzuki Grand Vitara,Delta CNG 2 Airbag,2024,20000,CNG,Manual,1250000.0,2,625000.0,10000.0,Maruti Suzuki
Mercedes-Benz V-Class,Exclusive,2019,45000,Diesel,Automatic,4600000.0,7,657142.8571428572,6428.571428571428,Mercedes-Benz
Audi Q7,Technology,2023,29000,Petrol,Automatic,6650000.0,3,2216666.6666666665,9666.666666666666,Audi
MG Hector Plus,1.5 Turbo Sharp Pro CVT 7 Str BSVI,2020,79445,Petrol,Automatic,1013000.0,6,168833.33333333334,13240.833333333334,MG
Mercedes-Benz E-Class,Expression E 220 d BSIV,2019,58000,Diesel,Automatic,2650000.0,7,378571.4285714286,8285.714285714286,Mercedes-Benz
Kia Seltos,HTX Plus Diesel,2022,40000,Diesel,Manual,1199000.0,4,299750.0,10000.0,Kia
Honda City,i VTEC CVT VX,2015,120000,Petrol,Automatic,450000.0,11,40909.09090909091,10909.09090909091,Honda
MG Hector Plus,Select Diesel MT 7 STR,2021,97000,Diesel,Manual,875000.0,5,175000.0,19400.0,MG
Mercedes-Benz C-Class,C 220 CDI Avantgarde,2018,48000,Diesel,Automatic,1950000.0,8,243750.0,6000.0,Mercedes-Benz
Kia Carens,Luxury Plus iMT BSVI,2022,72000,Petrol,Automatic,1211000.0,4,302750.0,18000.0,Kia
Maruti Suzuki FRONX,Delta Plus AMT,2024,24000,Petrol,Automatic,790000.0,2,395000.0,12000.0,Maruti Suzuki
Volkswagen Taigun,1.0 TSI Highline AT BSVI,2022,60000,Petrol,Automatic,900000.0,4,225000.0,15000.0,Volkswagen
Hyundai Creta,SX Tech,2024,44000,Petrol,Manual,1375000.0,2,687500.0,22000.0,Hyundai
Ford Ecosport,S Petrol BSIV,2019,75000,Petrol,Manual,485000.0,7,69285.71428571429,10714.285714285714,Ford
Kia Seltos,HTK G,2020,50000,Petrol,Manual,800000.0,6,133333.33333333334,8333.333333333334,Kia
Audi Q8,55 TFSI Quattro BSVI,2021,79000,Petrol,Automatic,5490000.0,5,1098000.0,15800.0,Audi
Hyundai Grand i10,1.2 Kappa Magna BSIV,2016,48569,Petrol,Manual,320000.0,10,32000.0,4856.9,Hyundai
Kia Carens,Prestige Plus DCT BSVI,2023,43000,Petrol,Automatic,1185000.0,3,395000.0,14333.333333333334,Kia
Mahindra XUV500,W11 Option AT,2020,80000,Diesel,Automatic,1200000.0,6,200000.0,13333.333333333334,Mahindra
Kia Sonet,GTX Plus Turbo DCT,2023,20000,Petrol,Automatic,1085000.0,3,361666.6666666667,6666.666666666667,Kia
Hyundai Creta,1.6 VTVT SX Plus,2016,52000,Petrol,Manual,625000.0,10,62500.0,5200.0,Hyundai
Hyundai Creta,S (O) iVT,2024,4000,Petrol,Automatic,1575000.0,2,787500.0,2000.0,Hyundai
Audi A4,30 TFSI Technology,2017,31000,Petrol,Automatic,1698999.9999999998,9,188777.77777777775,3444.4444444444443,Audi
Toyota Innova Crysta,2.4 GX 7 STR,2020,132000,Diesel,Manual,1399000.0,6,233166.66666666666,22000.0,Toyota
Toyota Land Cruiser Prado,VXL,2019,146000,Diesel,Automatic,7800000.0,7,1114285.7142857143,20857.14285714286,Toyota
Hyundai Creta,1.6 VTVT AT SX Plus,2016,62726,Petrol,Automatic,517000.0,10,51700.0,6272.6,Hyundai
Maruti Suzuki Wagon R,AMT VXI Plus Option,2017,56000,Petrol,Automatic,310000.0,9,34444.444444444445,6222.222222222223,Maruti Suzuki
Hyundai Creta,1.6 VTVT SX Plus,2018,61000,Petrol,Manual,750000.0,8,93750.0,7625.0,Hyundai
Maruti Suzuki Alto 800,CNG LXI,2014,56000,CNG,Manual,169000.0,12,14083.333333333334,4666.666666666667,Maruti Suzuki
Toyota Innova Crysta,2.8 ZX AT BSIV,2018,170000,Diesel,Automatic,1399000.0,8,174875.0,21250.0,Toyota
Kia Seltos,HTK Plus G,2022,33000,Petrol,Manual,990000.0,4,247500.0,8250.0,Kia
MG Hector Plus,Sharp DCT,2020,15000,Petrol,Automatic,1225000.0,6,204166.66666666666,2500.0,MG
Tata Harrier,XZ Plus Dark Edition BSVI,2021,50000,Diesel,Manual,1100000.0,5,220000.0,10000.0,Tata
Hyundai Grand i10,1.2 Kappa Magna BSIV,2019,35689,Petrol,Manual,359000.0,7,51285.71428571428,5098.428571428572,Hyundai
Hyundai Creta,1.6 SX Automatic,2019,38000,Petrol,Automatic,890000.0,7,127142.85714285714,5428.571428571428,Hyundai
Honda Jazz,V,2019,40000,Petrol,Manual,465000.00000000006,7,66428.57142857143,5714.285714285715,Honda
Maruti Suzuki Brezza,Vxi CNG,2024,37000,CNG,Manual,900000.0,2,450000.0,18500.0,Maruti Suzuki
Jaguar F-Pace,Prestige 2.0 AWD,2017,78000,Diesel,Automatic,2000000.0,9,222222.22222222222,8666.666666666666,Jaguar
Mercedes-Benz V-Class,Elite,2021,40000,Diesel,Automatic,6000000.0,5,1200000.0,8000.0,Mercedes-Benz
Toyota Innova Crysta,2.4 GX 7 STR AT,2020,63585,Diesel,Automatic,1600000.0,6,266666.6666666667,10597.5,Toyota
Toyota Innova Crysta,2.8 GX AT BSIV,2017,156000,Diesel,Automatic,1075000.0,9,119444.44444444444,17333.333333333332,Toyota
Mercedes-Benz V-Class,Exclusive,2019,48000,Diesel,Automatic,4575000.0,7,653571.4285714285,6857.142857142857,Mercedes-Benz
Hyundai Creta,S BSVI,2021,43000,Petrol,Manual,880000.0000000001,5,176000.00000000003,8600.0,Hyundai
Audi Q7,40 TFSI Quattro Technology,2018,55000,Petrol,Automatic,3300000.0,8,412500.0,6875.0,Audi
Honda Jazz,V,2019,40500,Petrol,Manual,460000.0,7,65714.28571428571,5785.714285714285,Honda
Lexus RX,450h Luxury,2017,70000,Petrol,Automatic,3500000.0,9,388888.8888888889,7777.777777777777,Lexus
Hyundai Creta,1.6 SX Option,2019,85000,Petrol,Manual,685000.0,7,97857.14285714286,12142.857142857143,Hyundai
Kia Carnival,Prestige 6 STR,2020,77000,Diesel,Automatic,1990000.0,6,331666.6666666667,12833.333333333334,Kia
Honda Elevate,ZX CVT Non RF,2024,22005,Petrol,Automatic,1555000.0,2,777500.0,11002.5,Honda
Toyota Innova Crysta,2.4 G Plus MT BSIV,2019,70000,Diesel,Manual,1350000.0,7,192857.14285714287,10000.0,Toyota
Honda Amaze,S Option i-VTEC,2018,78000,Petrol,Manual,385000.0,8,48125.0,9750.0,Honda
Audi Q7,40 TFSI Quattro,2018,53000,Petrol,Automatic,3100000.0,8,387500.0,6625.0,Audi
Toyota Innova Crysta,2.8 ZX AT BSIV,2019,135000,Diesel,Automatic,1575000.0,7,225000.0,19285.714285714286,Toyota
MG Hector,Sharp CVT,2021,61000,Petrol,Automatic,1140000.0,5,228000.0,12200.0,MG
Kia Seltos,GTX,2019,42000,Petrol,Manual,1016000.0,7,145142.85714285713,6000.0,Kia
Hyundai Grand i10 Nios,Sportz,2024,29322,Petrol,Manual,623000.0,2,311500.0,14661.0,Hyundai
Toyota Innova Crysta,2.4 G MT,2020,69023,Diesel,Manual,1475000.0,6,245833.33333333334,11503.833333333334,Toyota
Toyota Innova Crysta,2.4 G Plus MT BSIV,2019,58023,Diesel,Manual,1375000.0,7,196428.57142857142,8289.0,Toyota
Honda Amaze 2nd Gen,S,2018,48519,Petrol,Manual,387000.0,8,48375.0,6064.875,Honda
Toyota Fortuner,4x2 Manual,2014,200000,Diesel,Manual,865000.0,12,72083.33333333333,16666.666666666668,Toyota
MG Gloster,Black Storm 4x4 7Str,2023,66000,Diesel,Automatic,2950000.0,3,983333.3333333334,22000.0,MG
Hyundai Venue,SX BSVI,2022,21000,Petrol,Manual,890000.0,4,222500.0,5250.0,Hyundai
Hyundai Creta,SX Tech iVT,2024,23000,Petrol,Automatic,1595000.0,2,797500.0,11500.0,Hyundai
Mercedes-Benz E-Class,E 200 CGI,2012,67000,Petrol,Manual,520000.0,14,37142.857142857145,4785.714285714285,Mercedes-Benz
Jaguar XF,2.2 Litre Luxury,2016,70000,Diesel,Automatic,1295000.0,10,129500.0,7000.0,Jaguar
Hyundai Creta,1.6 VTVT SX Plus,2017,59000,Petrol,Manual,650000.0,9,72222.22222222222,6555.555555555556,Hyundai
Toyota Innova Crysta,2.4 G MT,2020,139000,Diesel,Manual,1485000.0,6,247500.0,23166.666666666668,Toyota
Maruti Suzuki Ertiga,VXI,2014,65000,Petrol,Manual,350000.0,12,29166.666666666668,5416.666666666667,Maruti Suzuki
Kia Seltos,HTK G,2020,31000,Petrol,Manual,785000.0,6,130833.33333333333,5166.666666666667,Kia
Toyota Innova Crysta,2.4 VX MT BSIV,2018,111000,Diesel,Manual,1400000.0,8,175000.0,13875.0,Toyota
Ford Ecosport,1.5 Petrol Titanium Plus AT,2021,25000,Petrol,Automatic,875000.0,5,175000.0,5000.0,Ford
Skoda Superb,Laurin & klement BSVI,2022,30000,Petrol,Automatic,2500000.0,4,625000.0,7500.0,Skoda
Land Rover Range Rover Velar,R-Dynamic S Diesel,2022,39000,Diesel,Automatic,6199000.0,4,1549750.0,9750.0,Land Rover
Kia Seltos,GTK,2019,31000,Petrol,Manual,1050000.0,7,150000.0,4428.571428571428,Kia
Hyundai Aura,S CNG,2021,72000,CNG,Manual,565000.0,5,113000.0,14400.0,Hyundai
MG Hector,Smart DCT,2019,47968,Petrol,Automatic,736000.0,7,105142.85714285714,6852.571428571428,MG
Audi Q7,40 TFSI Quattro Technology,2019,60000,Petrol,Automatic,3350000.0,7,478571.4285714286,8571.42857142857,Audi
Jaguar XF,2.0 Diesel Prestige,2015,76000,Diesel,Automatic,790000.0,11,71818.18181818182,6909.090909090909,Jaguar
Hyundai i20,Sportz,2024,32000,Petrol,Manual,692000.0,2,346000.0,16000.0,Hyundai
Toyota Innova Crysta,2.4 ZX 7 STR AT,2021,88000,Diesel,Automatic,2050000.0,5,410000.0,17600.0,Toyota
Hyundai Creta,S BSVI,2021,64856,Petrol,Manual,900000.0,5,180000.0,12971.2,Hyundai
Volvo XC60,Inscription D5,2021,35000,Diesel,Automatic,3500000.0,5,700000.0,7000.0,Volvo
Mercedes-Benz E-Class,Exclusive E 220 d BSIV,2019,70000,Diesel,Automatic,2450000.0,7,350000.0,10000.0,Mercedes-Benz
Kia Seltos,HTK Plus Turbo iMT,2023,50000,Petrol,Manual,1175000.0,3,391666.6666666667,16666.666666666668,Kia
Kia Seltos,HTK Plus G,2020,59200,Petrol,Manual,750000.0,6,125000.0,9866.666666666666,Kia
Kia Seltos,HTX Diesel,2020,44439,Diesel,Manual,808000.0,6,134666.66666666666,7406.5,Kia
Hyundai Kona,Premium,2022,60000,Electric,Automatic,1650000.0,4,412500.0,15000.0,Hyundai
MG ZS EV,Excite,2023,60000,Electric,Automatic,1550000.0,3,516666.6666666667,20000.0,MG
Toyota Innova Crysta,2.8 GX AT BSIV,2019,125000,Diesel,Automatic,1380000.0,7,197142.85714285713,17857.14285714286,Toyota
Mercedes-Benz E-Class,Exclusive E 200,2023,60000,Petrol,Automatic,4690000.0,3,1563333.3333333333,20000.0,Mercedes-Benz
Toyota Fortuner,2.8 4WD AT BSIV,2017,185000,Diesel,Automatic,1990000.0,9,221111.11111111112,20555.555555555555,Toyota
Lexus ES,300h Exquisite,2022,12000,Petrol,Automatic,4600000.0,4,1150000.0,3000.0,Lexus
Hyundai Grand i10,Magna,2017,12000,Petrol,Manual,365000.0,9,40555.555555555555,1333.3333333333333,Hyundai
Hyundai Alcazar,Prestige 7-Seater,2022,46221,Petrol,Manual,1073000.0,4,268250.0,11555.25,Hyundai
Audi A6,45 TFSI Premium Plus BSVI,2020,24577,Petrol,Automatic,2700000.0,6,450000.0,4096.166666666667,Audi
Kia Sonet,HTX Plus Turbo iMT BSVI,2021,28278,Petrol,Manual,610000.0,5,122000.0,5655.6,Kia
MG Hector,1.5 Turbo Smart,2021,42511,Petrol,Manual,1207000.0,5,241400.0,8502.2,MG
Hyundai Alcazar,Platinum (O) Turbo DCT 7 Seater,2023,43000,Petrol,Automatic,1550000.0,3,516666.6666666667,14333.333333333334,Hyundai
BMW X1,sDrive 20d xLine,2020,47000,Diesel,Automatic,2050000.0,6,341666.6666666667,7833.333333333333,BMW
Kia Seltos,GTX Plus DCT,2023,24000,Petrol,Automatic,1450000.0,3,483333.3333333333,8000.0,Kia
Hyundai Creta,S (O) iVT,2024,22000,Petrol,Automatic,1495000.0,2,747500.0,11000.0,Hyundai
Hyundai Grand i10,1.2 Kappa Asta,2018,30000,Petrol,Manual,430000.0,8,53750.0,3750.0,Hyundai
Land Rover Discovery,HSE 2.0 SD4,2017,46000,Petrol,Automatic,1990000.0,9,221111.11111111112,5111.111111111111,Land Rover
Hyundai Grand i10,1.2 Kappa Magna BSIV,2017,62000,Petrol,Manual,321000.0,9,35666.666666666664,6888.888888888889,Hyundai
Volkswagen Tiguan,2.0 TDI Highline,2020,65000,Diesel,Automatic,1685000.0000000002,6,280833.3333333334,10833.333333333334,Volkswagen
Hyundai Creta,1.6 CRDi AT SX Plus,2018,75000,Diesel,Automatic,675000.0,8,84375.0,9375.0,Hyundai
Mahindra XUV700,AX7 6Str AT,2024,16000,Petrol,Automatic,1975000.0,2,987500.0,8000.0,Mahindra
Toyota Innova Crysta,2.4 GX 7 STR AT,2020,132000,Diesel,Automatic,1490000.0,6,248333.33333333334,22000.0,Toyota
Land Rover Discovery,HSE 2.0 SD4,2017,150000,Petrol,Automatic,1700000.0,9,188888.88888888888,16666.666666666668,Land Rover
Mercedes-Benz E-Class,E 200 CGI,2014,64000,Petrol,Automatic,1250000.0,12,104166.66666666667,5333.333333333333,Mercedes-Benz
Hyundai Creta,1.6 VTVT AT SX Plus,2019,26000,Petrol,Automatic,875000.0,7,125000.0,3714.285714285714,Hyundai
Kia Carens Clavis,HTX Plus Turbo,2025,5000,Petrol,Manual,1875000.0,1,1875000.0,5000.0,Kia
Audi Q7,45 TDI Quattro Premium Plus,2019,157000,Diesel,Automatic,2590000.0,7,370000.0,22428.571428571428,Audi
MG Hector,Sharp AT BSIV,2020,34000,Petrol,Automatic,1100000.0,6,183333.33333333334,5666.666666666667,MG
Mahindra XUV700,MX BSVI,2022,94000,Petrol,Manual,980000.0,4,245000.0,23500.0,Mahindra
Hyundai Grand i10,Sportz Plus,2017,72000,Petrol,Manual,385000.0,9,42777.77777777778,8000.0,Hyundai
Toyota Innova Crysta,2.7 GX AT BSIV,2017,82000,Petrol,Automatic,1050000.0,9,116666.66666666667,9111.111111111111,Toyota
Toyota Innova Crysta,2.4 G 7 STR,2022,69000,Diesel,Manual,1875000.0,4,468750.0,17250.0,Toyota
Kia Seltos,GTX Plus DCT,2023,39000,Petrol,Automatic,1495000.0,3,498333.3333333333,13000.0,Kia
Maruti Suzuki Ciaz,Zeta BSIV,2019,58000,Petrol,Manual,549000.0,7,78428.57142857143,8285.714285714286,Maruti Suzuki
Tata Nexon,XM S BSVI,2022,60000,Petrol,Manual,800000.0,4,200000.0,15000.0,Tata
Honda City,i VTEC V,2015,46000,Petrol,Manual,495000.0,11,45000.0,4181.818181818182,Honda
Honda City,VX MT,2022,12053,Petrol,Manual,1025000.0,4,256250.0,3013.25,Honda
Toyota Fortuner,2.8 2WD AT BSIV,2018,78000,Diesel,Automatic,2325000.0,8,290625.0,9750.0,Toyota
Hyundai Creta,1.6 VTVT SX Plus,2016,57000,Petrol,Manual,575000.0,10,57500.0,5700.0,Hyundai
Mercedes-Benz E-Class,Exclusive E 200 BSVI,2021,45000,Petrol,Automatic,3750000.0,5,750000.0,9000.0,Mercedes-Benz
Volkswagen Taigun,1.0 Comfortline,2024,13240,Petrol,Manual,886999.9999999999,2,443499.99999999994,6620.0,Volkswagen
Ford Freestyle,Titanium Petrol BSIV,2018,56000,Petrol,Manual,375000.0,8,46875.0,7000.0,Ford
Honda City,i VTEC V,2015,119495,Petrol,Manual,370000.0,11,33636.36363636364,10863.181818181818,Honda
Audi Q3 Sportback,40TFSI Quattro,2024,17000,Petrol,Automatic,4100000.0,2,2050000.0,8500.0,Audi
Honda Jazz,V,2019,40000,Petrol,Manual,485000.0,7,69285.71428571429,5714.285714285715,Honda
Toyota Fortuner,4X2 Diesel AT,2023,90000,Diesel,Automatic,3000000.0,3,1000000.0,30000.0,Toyota
Mercedes-Benz C-Class,C 200 CGI,2015,64586,Petrol,Automatic,1500000.0,11,136363.63636363635,5871.454545454545,Mercedes-Benz
Land Rover Defender,2.0 l Petrol 110 X-Dynamic HSE,2024,24000,Petrol,Automatic,11100000.000000002,2,5550000.000000001,12000.0,Land Rover
Honda WR-V,i-VTEC VX,2017,123355,Petrol,Manual,350000.0,9,38888.88888888889,13706.111111111111,Honda
Hyundai Creta,SX Diesel BSVI,2021,54000,Diesel,Manual,1250000.0,5,250000.0,10800.0,Hyundai
Toyota Innova Crysta,2.4 ZX MT BSIV,2018,43000,Diesel,Manual,1475000.0,8,184375.0,5375.0,Toyota
Kia Sonet,GTX Plus Diesel AT BSVI,2021,50000,Diesel,Automatic,790000.0,5,158000.0,10000.0,Kia
Toyota Fortuner,2.8 2WD AT BSIV,2018,105000,Diesel,Automatic,2200000.0,8,275000.0,13125.0,Toyota
Lexus ES,300h Exquisite,2022,12000,Petrol,Automatic,4599000.0,4,1149750.0,3000.0,Lexus
Honda Amaze 2nd Gen,VX CVT BSVI,2021,33000,Petrol,Automatic,675000.0,5,135000.0,6600.0,Honda
MG Hector,Sharp CVT,2021,55000,Petrol,Automatic,1125000.0,5,225000.0,11000.0,MG
BMW 3 Series GT,Luxury Line,2016,91500,Diesel,Automatic,1350000.0,10,135000.0,9150.0,BMW
MG Hector Plus,Sharp CVT,2021,37052,Petrol,Automatic,1275000.0,5,255000.0,7410.4,MG
Maruti Suzuki Baleno,Delta,2021,30000,Petrol,Manual,475000.0,5,95000.0,6000.0,Maruti Suzuki
Mercedes-Benz GLS,350d 4MATIC,2018,80000,Diesel,Automatic,2990000.0,8,373750.0,10000.0,Mercedes-Benz
Jaguar F-Pace,Prestige 2.0 Petrol,2019,41000,Petrol,Automatic,3900000.0,7,557142.8571428572,5857.142857142857,Jaguar
Tata Safari,XT Plus BSVI,2021,70000,Diesel,Manual,1050000.0,5,210000.0,14000.0,Tata
Honda City,i VTEC V,2016,51000,Petrol,Manual,450000.0,10,45000.0,5100.0,Honda
Audi Q5,Technology BSVI,2023,25000,Petrol,Automatic,4400000.0,3,1466666.6666666667,8333.333333333334,Audi
Toyota Innova Crysta,2.4 ZX 7 STR AT,2022,60000,Diesel,Automatic,2250000.0,4,562500.0,15000.0,Toyota
Jeep Compass,Model S DCT BSVI,2023,60000,Petrol,Automatic,2000000.0,3,666666.6666666666,20000.0,Jeep
Audi Q3,Premium Plus,2023,54000,Petrol,Automatic,2900000.0,3,966666.6666666666,18000.0,Audi
Mercedes-Benz GLA Class,200 CDI,2017,34000,Diesel,Automatic,1625000.0,9,180555.55555555556,3777.777777777778,Mercedes-Benz
Mahindra Thar,LX Hard Top Diesel,2023,20400,Diesel,Manual,1250000.0,3,416666.6666666667,6800.0,Mahindra
Kia Seltos,GTX Plus DCT,2021,48023,Petrol,Automatic,1225000.0,5,245000.0,9604.6,Kia
Mercedes-Benz GLC,200,2020,31000,Petrol,Automatic,3690000.0,6,615000.0,5166.666666666667,Mercedes-Benz
Kia Carens,Prestige BSVI,2022,36000,Petrol,Manual,965000.0,4,241250.0,9000.0,Kia
Mahindra Scorpio N,Z8 AT,2024,27000,Petrol,Automatic,1875000.0,2,937500.0,13500.0,Mahindra
Mercedes-Benz E-Class,E 200 CGI,2015,55000,Petrol,Automatic,1525000.0,11,138636.36363636365,5000.0,Mercedes-Benz
Audi Q3,30 TFSI Premium FWD,2017,57000,Petrol,Automatic,1625000.0,9,180555.55555555556,6333.333333333333,Audi
Kia Seltos,HTK G,2020,75000,Petrol,Manual,790000.0,6,131666.66666666666,12500.0,Kia
BMW 5 Series,530i M Sport BSVI,2022,52357,Petrol,Automatic,4500000.0,4,1125000.0,13089.25,BMW
Hyundai Creta,SX Premium iVT,2025,19000,Petrol,Automatic,1785000.0000000002,1,1785000.0000000002,19000.0,Hyundai
Honda City,CVT,2023,14091,Petrol,Automatic,1152000.0,3,384000.0,4697.0,Honda
Honda Jazz,1.2 V AT i VTEC,2017,89904,Petrol,Automatic,348000.0,9,38666.666666666664,9989.333333333334,Honda
Ford Endeavour,Titanium Plus 4X2,2019,50000,Diesel,Automatic,2300000.0,7,328571.4285714286,7142.857142857143,Ford
Toyota Innova Crysta,2.8 GX AT BSIV,2018,137000,Diesel,Automatic,1275000.0,8,159375.0,17125.0,Toyota
Hyundai Creta,SX (O) Turbo DCT,2024,13185,Petrol,Automatic,1570000.0,2,785000.0,6592.5,Hyundai
MG Hector,1.5 Turbo Sharp pro CVT BSVI,2023,55188,Petrol,Automatic,1383000.0,3,461000.0,18396.0,MG
Jeep Meridian,Limited Opt AT 4x4,2024,19000,Diesel,Automatic,2795000.0,2,1397500.0,9500.0,Jeep
Jeep Meridian,Limited Opt AT BSVI,2022,82000,Diesel,Automatic,2095000.0,4,523750.0,20500.0,Jeep
Mercedes-Benz GLS,400d 4MATIC BSVI,2021,42000,Diesel,Automatic,8190000.000000001,5,1638000.0000000002,8400.0,Mercedes-Benz
Audi Q7,45 TFSI Technology,2019,90000,Petrol,Automatic,3490000.0,7,498571.4285714286,12857.142857142857,Audi
Hyundai Grand i10,Prime T Plus CNG,2018,68000,CNG,Manual,390000.0,8,48750.0,8500.0,Hyundai
MG Hector Plus,1.5 Turbo Sharp Pro 7 Str BSVI,2023,19985,Petrol,Manual,1238000.0,3,412666.6666666667,6661.666666666667,MG
Kia Seltos,GTX DCT,2021,73052,Petrol,Automatic,771000.0,5,154200.0,14610.4,Kia
Hyundai Creta,1.6 VTVT AT SX Plus,2017,76258,Petrol,Automatic,539000.0,9,59888.88888888889,8473.111111111111,Hyundai
Mahindra Scorpio,S4 Plus,2017,60000,Diesel,Manual,690000.0,9,76666.66666666667,6666.666666666667,Mahindra
Kia Sonet,GTX Plus Turbo DCT BSVI,2023,20000,Petrol,Automatic,1099000.0,3,366333.3333333333,6666.666666666667,Kia
Mahindra Thar,LX 4WD Hard Top BSVI,2021,90000,Petrol,Manual,950000.0,5,190000.0,18000.0,Mahindra
Honda Jazz,1.2 V AT i VTEC,2015,76000,Petrol,Automatic,410000.0,11,37272.72727272727,6909.090909090909,Honda
Mercedes-Benz E-Class,Exclusive E 200 BSIV,2018,48000,Petrol,Automatic,2890000.0,8,361250.0,6000.0,Mercedes-Benz
Hyundai Grand i10,1.2 Kappa Magna AT,2018,55000,Petrol,Automatic,425000.0,8,53125.0,6875.0,Hyundai
Mahindra Thar,LX 4WD Hard Top AT BSVI,2023,21000,Petrol,Automatic,1375000.0,3,458333.3333333333,7000.0,Mahindra
Mercedes-Benz GLS,350d 4MATIC,2017,126000,Diesel,Automatic,2200000.0,9,244444.44444444444,14000.0,Mercedes-Benz
BMW X1,sDrive 20d xLine,2018,52000,Diesel,Automatic,1789999.9999999998,8,223749.99999999997,6500.0,BMW
Hyundai Grand i10,1.2 Kappa Sportz Option AT,2018,63174,Petrol,Automatic,360000.0,8,45000.0,7896.75,Hyundai
Toyota Fortuner,4X2 AT BSVI,2023,28000,Petrol,Automatic,3300000.0,3,1100000.0,9333.333333333334,Toyota
BMW X1,sDrive 20d xLine,2017,40000,Diesel,Automatic,1590000.0,9,176666.66666666666,4444.444444444444,BMW
Mercedes-Benz GLC,300,2025,6800,Petrol,Automatic,7500000.0,1,7500000.0,6800.0,Mercedes-Benz
Audi Q3 Sportback,Technology,2023,12000,Petrol,Automatic,3700000.0,3,1233333.3333333333,4000.0,Audi
Tata Curvv,Accomplished S DCA,2024,10000,Petrol,Automatic,1310000.0,2,655000.0,5000.0,Tata
Mercedes-Benz GLE,300d 4Matic,2024,36800,Diesel,Automatic,8400000.0,2,4200000.0,18400.0,Mercedes-Benz
Volvo S60,D4 Momentum BSIV,2018,40000,Diesel,Automatic,1490000.0,8,186250.0,5000.0,Volvo
Tata Curvv,Accomplished S DCA,2025,15000,Petrol,Automatic,1278000.0,1,1278000.0,15000.0,Tata
Mercedes-Benz E-Class,Exclusive E 200 BSVI,2021,59000,Petrol,Automatic,4350000.0,5,870000.0,11800.0,Mercedes-Benz
Mercedes-Benz GLS,450d 4matic,2024,24500,Diesel,Automatic,11800000.0,2,5900000.0,12250.0,Mercedes-Benz
Toyota Innova Crysta,2.7 GX AT BSIV,2018,62000,Petrol,Automatic,1350000.0,8,168750.0,7750.0,Toyota
Audi Q2,Technology,2021,76000,Petrol,Automatic,1850000.0,5,370000.0,15200.0,Audi
Ford Ecosport,1.5 Petrol Titanium Plus BSIV,2016,20000,Petrol,Manual,440000.00000000006,10,44000.00000000001,2000.0,Ford
Mercedes-Benz E-Class,Exclusive E 200,2023,6600,Petrol,Automatic,6150000.0,3,2050000.0,2200.0,Mercedes-Benz
