Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price
Toyota Innova Crysta,2.8 ZX AT BSIV,2017,"1,30,000 kms",Diesel,Automatic,₹13 Lakh
Tata Safari,XT Plus BSVI,2021,"67,421 kms",Diesel,Manual,₹10.98 Lakh
Tata Nexon,Creative Dark,2024,"25,592 kms",Petrol,Manual,₹8.26 Lakh
BMW 3 Series Long Wheelbase,330 Li Luxury Line,2022,"28,400 kms",Petrol,Automatic,₹41.50 Lakh
Maruti Suzuki Wagon R,CNG LXI,2022,"48,000 kms",CNG,Manual,₹4.25 Lakh
Ford Ecosport,1.5 TDCi Titanium Plus BSIV,2017,"55,000 kms",Diesel,Manual,₹4.49 Lakh
Volkswagen Ameo,1.2 MPI Highline,2016,"51,000 kms",Petrol,Manual,₹3.25 Lakh
BMW 5 Series,520d Luxury Line,2020,"12,000 kms",Diesel,Automatic,₹39 Lakh
Renault Triber,RXT,2024,"5,800 kms",Petrol,Manual,₹6.60 Lakh
Maruti Suzuki Ertiga,VXI,2019,"51,000 kms",Petrol,Manual,₹7.25 Lakh
MG Hector,Sharp Diesel MT BSIV,2019,"85,000 kms",Diesel,Manual,₹9.25 Lakh
Lexus LX,500d,2023,"8,000 kms",Diesel,Automatic,₹2.75 Crore
Hyundai Grand i10 Nios,Magna,2025,"9,000 kms",Petrol,Manual,₹6.75 Lakh
MG Hector,Sharp AT BSIV,2021,"45,000 kms",Petrol,Automatic,₹9.80 Lakh
Kia Sonet,HTK Plus Turbo iMT,2023,"34,210 kms",Petrol,Automatic,₹7.27 Lakh
Mercedes-Benz S-Class,S 350 d,2019,"37,000 kms",Diesel,Automatic,₹60 Lakh
Maruti Suzuki Grand Vitara,Alpha BSVI,2022,"45,000 kms",Petrol,Manual,₹11.25 Lakh
Maruti Suzuki Baleno,Alpha,2018,"93,556 kms",Petrol,Manual,₹3.85 Lakh
Toyota Innova Hycross,G 7STR,2023,"80,000 kms",Petrol,Automatic,₹18.50 Lakh
Mercedes-Benz S-Class,S450 4Matic,2023,"12,000 kms",Petrol,Automatic,₹1.35 Crore
Maruti Suzuki Vitara Brezza,LXI,2020,"67,000 kms",Petrol,Manual,₹6.15 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2025,"27,000 kms",Petrol,Automatic,₹34.70 Lakh
Renault Duster,Petrol RXS CVT,2019,"60,000 kms",Petrol,Automatic,₹4.98 Lakh
Kia Seltos,GTX Plus Diesel AT,2024,"28,000 kms",Diesel,Automatic,₹17.75 Lakh
Toyota Corolla Altis,1.8 VL CVT,2018,"56,000 kms",Petrol,Automatic,₹9.90 Lakh
Maruti Suzuki Grand Vitara,Alpha Plus Hybrid CVT BSVI,2023,"43,000 kms",Petrol,Automatic,₹16.25 Lakh
Maruti Suzuki XL6,Alpha AT,2019,"85,000 kms",Petrol,Automatic,₹7.45 Lakh
Toyota Innova Crysta,2.4 VX MT BSIV,2019,"82,000 kms",Diesel,Manual,₹15.50 Lakh
Maruti Suzuki XL6,Zeta,2021,"78,000 kms",Petrol,Manual,₹8.15 Lakh
Hyundai Venue,S BSIV,2020,"74,600 kms",Petrol,Manual,₹5.95 Lakh
BMW 7 Series,750Li Design Pure Excellence CBU,2016,"48,000 kms",Petrol,Automatic,₹33 Lakh
Porsche Cayenne Coupe,V6 BSVI,2023,"11,500 kms",Petrol,Automatic,₹1.23 Crore
Kia Seltos,HTK Plus G,2021,"68,000 kms",Petrol,Manual,₹8.75 Lakh
Kia Seltos,HTX IVT G,2021,"49,246 kms",Petrol,Automatic,₹10.57 Lakh
Hyundai Alcazar,Signature (O) 7-Seater AT,2023,"30,000 kms",Petrol,Automatic,₹14.90 Lakh
Mercedes-Benz GLS,450 4matic,2024,"10,300 kms",Petrol,Automatic,₹1.21 Crore
Hyundai Creta,1.6 E Plus,2018,"67,800 kms",Petrol,Manual,₹5.25 Lakh
Maruti Suzuki Grand Vitara,Zeta AT BSVI,2022,"18,500 kms",Petrol,Automatic,₹12 Lakh
Maruti Suzuki Grand Vitara,Zeta BSVI,2022,"54,000 kms",Petrol,Manual,₹9.58 Lakh
Maruti Suzuki Celerio,Green VXI Optional,2017,"28,976 kms",CNG,Manual,₹3 Lakh
Mercedes-Benz GLA,200,2025,"5,100 kms",Petrol,Automatic,₹45 Lakh
Honda City,V CVT,2021,"70,000 kms",Petrol,Automatic,₹8.95 Lakh
Ford Ecosport,1.5 Petrol Titanium Plus AT BSIV,2017,"71,000 kms",Petrol,Automatic,₹4.65 Lakh
Toyota Land Cruiser 300,ZX,2023,"9,000 kms",Diesel,Automatic,₹2.10 Crore
BMW X1,sDrive 20d xLine,2017,"63,000 kms",Diesel,Automatic,₹13.25 Lakh
Honda WR-V,i-DTEC VX,2019,"95,000 kms",Diesel,Manual,₹5.70 Lakh
Audi A3,35 TFSI Premium,2019,"58,000 kms",Petrol,Automatic,₹15.75 Lakh
MG Windsor EV,Essence,2024,"22,000 kms",Electric,Automatic,₹12.95 Lakh
Toyota Corolla Altis,Petrol LE,2015,"38,035 kms",Petrol,Manual,₹6.01 Lakh
Hyundai Grand i10,Sportz,2016,"74,000 kms",Petrol,Manual,₹3.20 Lakh
Toyota Corolla Altis,G AT,2016,"68,000 kms",Petrol,Automatic,₹6.90 Lakh
Toyota Fortuner,4X4 Diesel AT,2024,"14,980 kms",Diesel,Automatic,₹45 Lakh
Honda Amaze,S Petrol BSIV,2019,"59,000 kms",Petrol,Manual,₹4.49 Lakh
Hyundai Alcazar,Executive,2024,"12,000 kms",Petrol,Manual,₹14.50 Lakh
Honda City,i VTEC CVT VX,2016,"98,000 kms",Petrol,Automatic,₹5.95 Lakh
Mahindra Thar ROXX,AX7L RWD Diesel,2026,"3,000 kms",Diesel,Manual,₹21.50 Lakh
Toyota Corolla Altis,G AT,2016,"68,000 kms",Petrol,Automatic,₹6.90 Lakh
Honda Amaze,S Petrol BSIV,2019,"59,000 kms",Petrol,Manual,₹4.49 Lakh
Hyundai Alcazar,Executive,2024,"12,000 kms",Petrol,Manual,₹14.50 Lakh
Mercedes-Benz E-Class,Expression E 200 BSIV,2018,"20,000 kms",Petrol,Automatic,₹32 Lakh
Honda City,i VTEC CVT VX,2016,"98,000 kms",Petrol,Automatic,₹5.95 Lakh
Kia Seltos,GTX Plus,2019,"38,000 kms",Petrol,Manual,₹9.75 Lakh
Jeep Meridian,Overland 4x4 AT,2024,"24,000 kms",Diesel,Automatic,₹28.48 Lakh
Maruti Suzuki Wagon R,VXI BS IV,2011,"82,000 kms",Petrol,Manual,₹1.50 Lakh
Maruti Suzuki Grand Vitara,Zeta,2023,"42,000 kms",Petrol,Manual,₹11.25 Lakh
Honda City,i VTEC CVT VX,2017,"1,25,988 kms",Petrol,Automatic,₹3.56 Lakh
Mercedes-Benz E-Class,Elite E 350d,2024,"13,000 kms",Diesel,Automatic,₹64.90 Lakh
MG Astor,Sharp EX BSVI,2022,"88,000 kms",Petrol,Manual,₹9 Lakh
Toyota Innova Crysta,2.4 ZX 7 STR AT,2021,"65,000 kms",Diesel,Automatic,₹21 Lakh
Ford Ecosport,1.5 Petrol Titanium Plus BSIV,2016,"62,000 kms",Petrol,Manual,₹3.90 Lakh
Toyota Innova Crysta,2.4 G MT,2020,"1,35,000 kms",Diesel,Manual,₹13.95 Lakh
Kia Seltos,HTX IVT G,2020,"50,500 kms",Petrol,Automatic,₹9.95 Lakh
Jeep Compass,1.4 Limited Plus BSIV,2020,"61,000 kms",Petrol,Automatic,₹10.75 Lakh
Hyundai Alcazar,Signature (O) Turbo DCT,2024,"31,000 kms",Petrol,Automatic,₹16.25 Lakh
Mercedes-Benz GLC,Progressive 220d,2018,"67,000 kms",Diesel,Automatic,₹23.90 Lakh
Kia Seltos,HTK Plus,2023,"40,000 kms",Petrol,Manual,₹12.26 Lakh
Audi Q7,Technology,2023,"32,000 kms",Petrol,Automatic,₹66.50 Lakh
Honda City,i VTEC VX,2017,"85,036 kms",Petrol,Manual,₹4.33 Lakh
Hyundai Creta,1.6 E Plus,2020,"64,000 kms",Petrol,Manual,₹6.95 Lakh
Mercedes-Benz GLC,220d 4MATIC,2022,"70,000 kms",Diesel,Automatic,₹43 Lakh
Hyundai i20,Sportz IVT BSVI,2020,"54,000 kms",Petrol,Automatic,₹6.25 Lakh
Audi Q3 Sportback,40TFSI Quattro,2023,"12,000 kms",Petrol,Automatic,₹37 Lakh
Ford Ecosport,1.5 Petrol Trend Plus AT BSIV,2019,"1,03,265 kms",Petrol,Automatic,₹4.11 Lakh
Mercedes-Benz E-Class,Exclusive E 200 BSIV,2018,"30,000 kms",Petrol,Automatic,₹29 Lakh
Toyota Innova Crysta,2.4 G 7 STR,2022,"40,000 kms",Diesel,Manual,₹18 Lakh
Hyundai Creta,EX BSVI,2021,"31,000 kms",Petrol,Manual,₹8.70 Lakh
Mercedes-Benz GLC,200,2022,"40,000 kms",Petrol,Automatic,₹43.99 Lakh
BMW 7 Series,730Ld DPE Signature,2019,"56,000 kms",Diesel,Automatic,₹43 Lakh
Mercedes-Benz GLC,200,2022,"45,000 kms",Petrol,Automatic,₹37.90 Lakh
Hyundai Creta,E Diesel BSVI,2021,"42,000 kms",Diesel,Manual,₹9.85 Lakh
Mercedes-Benz S-Class,S 450,2021,"35,000 kms",Petrol,Automatic,₹82 Lakh
Tata Harrier,XZ BSVI,2021,"1,70,000 kms",Diesel,Manual,₹11 Lakh
Mercedes-Benz E-Class,Exclusive E 200 BSVI,2022,"60,000 kms",Petrol,Automatic,₹43 Lakh
Kia Seltos,HTX Plus Diesel,2022,"40,300 kms",Diesel,Manual,₹12 Lakh
BMW X1,sDrive 20d xLine,2016,"69,000 kms",Diesel,Automatic,₹10.90 Lakh
Hyundai Creta,EX,2023,"30,000 kms",Petrol,Manual,₹11.60 Lakh
Toyota Innova Crysta,2.7 ZX AT BSIV,2016,"72,000 kms",Petrol,Automatic,₹11.50 Lakh
Hyundai Grand i10,1.2 CRDi Sportz,2019,"84,000 kms",Diesel,Manual,₹3.85 Lakh
Toyota Corolla Altis,1.8 G,2017,"60,000 kms",Petrol,Manual,₹7.45 Lakh
Kia Seltos,GTX Plus Turbo DCT,2024,"10,000 kms",Petrol,Automatic,₹18.90 Lakh
Renault Triber,RXZ EASY-R AMT,2023,"16,742 kms",Petrol,Automatic,₹6.49 Lakh
Hyundai Grand i10 Nios,Asta,2020,"46,000 kms",Petrol,Manual,₹4.49 Lakh
Hyundai i20,Asta Option CVT BSIV,2019,"62,000 kms",Petrol,Automatic,₹5.50 Lakh
Hyundai Creta,SX BSVI,2021,"48,000 kms",Petrol,Manual,₹13 Lakh
Honda City,ZX CVT,2022,"41,000 kms",Petrol,Automatic,₹10.50 Lakh
Lexus ES,300h Luxury 2020-2022,2021,"24,000 kms",Petrol,Automatic,₹37 Lakh
Honda City,i-VTEC VX,2018,"68,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Creta,1.6 SX Automatic,2019,"74,000 kms",Petrol,Automatic,₹9 Lakh
Mercedes-Benz CLA,200 CGI Sport,2017,"47,000 kms",Petrol,Automatic,₹15.90 Lakh
MG Hector,Sharp DCT,2020,"53,053 kms",Petrol,Automatic,₹9.93 Lakh
Audi Q7,Technology,2025,"12,000 kms",Petrol,Automatic,₹79.50 Lakh
Tata Nexon,1.2 Revotron XM,2020,"85,000 kms",Petrol,Manual,₹6.20 Lakh
Hyundai Creta,SX Diesel BSVI,2022,"53,000 kms",Diesel,Manual,₹11.50 Lakh
Hyundai Creta,S Plus Knight,2023,"51,000 kms",Petrol,Manual,₹11.99 Lakh
BMW X4,M Sport X xDrive20d,2020,"49,000 kms",Diesel,Automatic,₹32.90 Lakh
Toyota Fortuner,2.8 2WD AT BSIV,2017,"1,20,000 kms",Diesel,Automatic,₹22 Lakh
BMW X4,M Sport X xDrive20d,2020,"49,000 kms",Diesel,Automatic,₹34.90 Lakh
Toyota Innova Crysta,2.4 VX MT BSIV,2018,"63,000 kms",Diesel,Manual,₹14.45 Lakh
Mercedes-Benz GLB,200 Progressive Line,2024,"2,700 kms",Petrol,Automatic,₹48.90 Lakh
Hyundai Xcent,1.2 VTVT E Plus,2018,"64,000 kms",Petrol,Manual,₹4 Lakh
Kia Seltos,GTX Plus Diesel AT,2022,"63,842 kms",Diesel,Automatic,₹12.43 Lakh
Kia Seltos,HTK Plus G,2021,"50,000 kms",Petrol,Manual,₹8.95 Lakh
Kia Carens,Luxury Turbo 2022-2023,2022,"45,000 kms",Petrol,Manual,₹10.75 Lakh
Audi A6,35 TFSI,2017,"70,000 kms",Petrol,Automatic,₹17.50 Lakh
Honda City,i VTEC CVT VX,2016,"67,437 kms",Petrol,Automatic,₹4.28 Lakh
Kia Seltos,HTK G,2021,"33,200 kms",Petrol,Manual,₹8.21 Lakh
Kia Seltos,HTX (O) iVT,2022,"77,455 kms",Petrol,Automatic,₹9.73 Lakh
Honda Amaze,S i-Vtech,2013,"50,000 kms",Petrol,Manual,₹1.96 Lakh
Hyundai Creta,SX Turbo Dualtone BSVI,2020,"71,000 kms",Petrol,Automatic,₹11.25 Lakh
Honda City,V,2018,"48,514 kms",Petrol,Manual,₹5.89 Lakh
Hyundai Creta,S (O) iVT,2024,"22,000 kms",Petrol,Automatic,₹14.95 Lakh
Toyota Corolla Altis,1.8 J,2011,"60,000 kms",Petrol,Manual,₹2 Lakh
Honda City,i-VTEC CVT ZX,2018,"85,000 kms",Petrol,Automatic,₹5.50 Lakh
Honda City,i VTEC V,2016,"44,000 kms",Petrol,Manual,₹4.90 Lakh
Kia Sonet,HTK (O),2024,"32,000 kms",Petrol,Manual,₹8.75 Lakh
Toyota Etios,V,2011,"1,00,000 kms",Petrol,Manual,₹1.81 Lakh
Tata Tigor,XZ Plus,2023,"40,000 kms",Petrol,Manual,₹7.49 Lakh
Honda Jazz,1.2 V AT i VTEC,2017,"72,000 kms",Petrol,Automatic,₹3.99 Lakh
Jeep Compass,1.4 Sport,2018,"58,000 kms",Petrol,Manual,₹7.50 Lakh
Kia Carens,Luxury Plus Diesel AT 6 STR BSVI,2022,"80,500 kms",Diesel,Automatic,₹13.95 Lakh
Audi A4,35 TDI Technology,2017,"78,000 kms",Diesel,Automatic,₹13 Lakh
Hyundai Creta,EX(O) iVT,2025,"11,000 kms",Petrol,Automatic,₹14.50 Lakh
Ford Ecosport,Titanium,2019,"36,625 kms",Petrol,Manual,₹5.77 Lakh
Mercedes-Benz C-Class,C 200 AVANTGARDE,2015,"90,000 kms",Petrol,Automatic,₹15 Lakh
Toyota Corolla Altis,1.8 G,2018,"31,000 kms",Petrol,Manual,₹10.25 Lakh
Tata Curvv,Accomplished S Hyperion DCA,2025,"7,000 kms",Petrol,Automatic,₹12.99 Lakh
Hyundai Creta,1.6 VTVT SX Plus,2016,"81,000 kms",Petrol,Manual,₹5.60 Lakh
Honda Amaze,S i-Vtech,2013,"50,000 kms",Petrol,Manual,₹2.15 Lakh
Hyundai Grand i10,AT Asta,2015,"96,000 kms",Petrol,Automatic,₹3.75 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2015,"76,000 kms",Petrol,Automatic,₹3.85 Lakh
Hyundai Creta,SX BSVI,2022,"36,000 kms",Petrol,Manual,₹11 Lakh
Honda WR-V,i-VTEC VX,2018,"60,000 kms",Petrol,Manual,₹4.80 Lakh
Hyundai i20,Asta Option CVT BSIV,2019,"62,000 kms",Petrol,Automatic,₹5.40 Lakh
Honda City,i VTEC CVT VX,2016,"45,000 kms",Petrol,Automatic,₹5 Lakh
Ford Ecosport,1.5 Petrol Titanium Plus AT BSIV,2019,"66,000 kms",Petrol,Automatic,₹5.85 Lakh
Honda Amaze,S i-Vtech,2013,"59,000 kms",Petrol,Manual,₹3 Lakh
Land Rover Discovery Sport,Dynamic SE Diesel,2022,"48,000 kms",Diesel,Automatic,₹42.50 Lakh
Jeep Compass,1.4 Limited Opt DCT BSVI,2021,"58,000 kms",Petrol,Automatic,₹13.50 Lakh
Hyundai Creta,SX Tech,2024,"44,000 kms",Petrol,Manual,₹13.75 Lakh
Maruti Suzuki Ciaz,ZXi,2014,"43,627 kms",Petrol,Manual,₹4.50 Lakh
Hyundai Grand i10,1.2 Kappa Magna AT,2019,"65,000 kms",Petrol,Automatic,₹4.65 Lakh
Ford Ecosport,Thunder Edition Petrol BSIV,2019,"75,000 kms",Petrol,Manual,₹4.75 Lakh
Jeep Compass,1.4 Longitude Option BSIV,2019,"42,571 kms",Petrol,Automatic,₹8.47 Lakh
Toyota Etios,G,2013,"19,000 kms",Petrol,Manual,₹5.50 Lakh
Toyota Corolla Altis,GL MT,2014,"76,000 kms",Petrol,Manual,₹4.10 Lakh
Hyundai Creta,SX Opt Turbo BSVI,2020,"37,960 kms",Petrol,Automatic,₹10.38 Lakh
Hyundai Venue,SX Plus Dual Tone Turbo DCT,2020,"48,000 kms",Petrol,Automatic,₹7.85 Lakh
Hyundai Grand i10,Sportz,2014,"48,785 kms",Petrol,Manual,₹3.50 Lakh
Ford Ecosport,1.5 Petrol Titanium Plus BSIV,2016,"21,000 kms",Petrol,Manual,₹4.35 Lakh
Hyundai i20,Sportz BSVI,2025,"21,264 kms",Petrol,Manual,₹7.15 Lakh
Kia Seltos,GTX Plus,2021,"45,000 kms",Petrol,Manual,₹11.80 Lakh
Maruti Suzuki Ciaz,Delta BSVI,2021,"1,10,000 kms",Petrol,Manual,₹8.50 Lakh
Toyota Corolla Altis,Petrol LE,2015,"72,816 kms",Petrol,Manual,₹5.32 Lakh
Maruti Suzuki Ciaz,1.4 Delta,2018,"64,000 kms",Petrol,Manual,₹4.65 Lakh
Mercedes-Benz GLE,300d 4Matic,2024,"12,000 kms",Diesel,Automatic,₹78 Lakh
Tata Indigo,GLS,2017,"50,000 kms",Petrol,Manual,₹2.20 Lakh
Hyundai Grand i10,1.2 Kappa Sportz Option AT,2017,"36,000 kms",Petrol,Automatic,₹3.85 Lakh
Hyundai i20,Magna Plus BSIV,2019,"37,531 kms",Petrol,Manual,₹4.68 Lakh
Mercedes-Benz E-Class,Expression E 200 BSIV,2019,"28,000 kms",Petrol,Automatic,₹35.90 Lakh
Honda Amaze,S Option i-VTEC,2017,"80,000 kms",Petrol,Manual,₹3.10 Lakh
BMW 3 Series GT,M Sport Petrol,2019,"60,000 kms",Petrol,Automatic,₹25.50 Lakh
Honda Amaze 2nd Gen,S,2023,"52,000 kms",Petrol,Manual,₹6.10 Lakh
Ford Ecosport,1.5 Petrol Titanium Plus BSIV,2016,"20,000 kms",Petrol,Manual,₹4.20 Lakh
Mahindra XUV500,W7 BSIV,2018,"1,00,000 kms",Diesel,Manual,₹6.50 Lakh
Toyota Glanza,G,2022,"33,000 kms",Petrol,Manual,₹6.50 Lakh
Mercedes-Benz GLC,200,2022,"74,000 kms",Petrol,Automatic,₹38.49 Lakh
Mercedes-Benz GLC,220d 4MATIC Style,2017,"91,000 kms",Diesel,Automatic,₹17.15 Lakh
Hyundai Grand i10,1.2 Kappa Magna BSIV,2019,"90,000 kms",Petrol,Manual,₹3.60 Lakh
Hyundai i20,Asta Option 1.2,2016,"47,000 kms",Petrol,Manual,₹4.45 Lakh
Hyundai Creta,EX Diesel BSVI,2021,"48,000 kms",Diesel,Manual,₹8.95 Lakh
MG Hector,Sharp CVT,2021,"39,000 kms",Petrol,Automatic,₹10.95 Lakh
Hyundai Grand i10,Sportz,2014,"80,000 kms",Petrol,Manual,₹2.10 Lakh
Hyundai Creta,EX Diesel BSVI,2021,"70,000 kms",Diesel,Manual,₹9.30 Lakh
Jaguar XJ,2.0L Portfolio,2017,"44,000 kms",Petrol,Automatic,₹31.90 Lakh
Kia Seltos,HTX IVT,2023,"33,000 kms",Petrol,Automatic,₹13.45 Lakh
Mahindra XUV500,W6 2WD,2018,"90,000 kms",Diesel,Manual,₹6.25 Lakh
BMW X5 M,Competition,2022,"35,000 kms",Petrol,Automatic,₹48 Lakh
Volvo S60,D4 SUMMUM,2016,"78,000 kms",Diesel,Automatic,₹9.50 Lakh
Jeep Compass,1.4 Limited Plus,2020,"47,000 kms",Petrol,Automatic,₹11.75 Lakh
Honda City,i-VTEC CVT ZX,2018,"80,000 kms",Petrol,Automatic,₹6.20 Lakh
Mercedes-Benz GLC,200,2022,"74,000 kms",Petrol,Automatic,₹37.90 Lakh
Toyota Etios Liva,1.2 G,2016,"88,000 kms",Petrol,Manual,₹3.65 Lakh
Toyota Glanza,G,2019,"69,000 kms",Petrol,Manual,₹4.95 Lakh
Honda CR-V,2.4L 4WD AT,2017,"70,000 kms",Petrol,Automatic,₹9.75 Lakh
Audi Q3,30 TFSI Premium FWD,2019,"64,000 kms",Petrol,Automatic,₹18.75 Lakh
Skoda Kushaq,1.0 TSI Style BSVI,2022,"56,442 kms",Petrol,Manual,₹8.75 Lakh
Maruti Suzuki Ciaz,1.4 Delta,2017,"92,709 kms",Petrol,Manual,₹3.63 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"82,000 kms",Diesel,Manual,₹5.20 Lakh
Mercedes-Benz CLA,200 CGI Sport,2016,"16,000 kms",Petrol,Automatic,₹20 Lakh
Hyundai Venue,SX Turbo BSIV,2019,"86,784 kms",Petrol,Manual,₹5.46 Lakh
Mercedes-Benz GLC,220d 4MATIC,2021,"36,000 kms",Diesel,Automatic,₹37.75 Lakh
Maruti Suzuki Swift Dzire,LXi,2011,"1,50,000 kms",Petrol,Manual,₹1.65 Lakh
Kia Seltos,HTX IVT,2024,"13,500 kms",Petrol,Automatic,₹15.25 Lakh
Maruti Suzuki Ciaz,Zeta BSVI,2022,"35,000 kms",Petrol,Manual,₹7.25 Lakh
Hyundai Venue,S Turbo BSIV,2019,"59,000 kms",Petrol,Manual,₹6.25 Lakh
Hyundai Venue,SX Diesel BSVI,2022,"80,000 kms",Diesel,Manual,₹9 Lakh
Honda WR-V,i-VTEC VX,2017,"79,000 kms",Petrol,Manual,₹4.85 Lakh
BMW X3,xDrive30i SportX Plus,2022,"11,900 kms",Petrol,Automatic,₹48.90 Lakh
Honda City,i-VTEC CVT V,2018,"40,000 kms",Petrol,Automatic,₹6.35 Lakh
Toyota Etios,1.5 GX,2017,"90,000 kms",Petrol,Manual,₹4.10 Lakh
Honda City,V MT,2022,"68,000 kms",Petrol,Manual,₹7.90 Lakh
Honda CR-V,Diesel 2WD,2019,"1,20,000 kms",Diesel,Automatic,₹12.99 Lakh
Hyundai Alcazar,Signature,2023,"17,000 kms",Petrol,Manual,₹16.50 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2018,"1,20,000 kms",Diesel,Automatic,₹5 Lakh
Tata Curvv,Creative Plus S DCA,2024,"9,000 kms",Petrol,Automatic,₹12.99 Lakh
Hyundai Venue,SX Opt Turbo iMT DT BSVI,2022,"60,000 kms",Petrol,Manual,₹6.90 Lakh
Toyota Rumion,G,2025,"5,000 kms",Petrol,Manual,₹10.45 Lakh
Kia Carnival,Limousine,2021,"1,20,000 kms",Diesel,Automatic,₹20 Lakh
Kia Seltos,HTX,2024,"6,500 kms",Petrol,Manual,₹13.75 Lakh
Hyundai i20,Asta,2025,"21,000 kms",Petrol,Manual,₹7.60 Lakh
Hyundai Creta,1.6 EX Petrol,2020,"1,24,656 kms",Petrol,Manual,₹8.49 Lakh
Toyota Camry,2.5 G,2015,"60,000 kms",Petrol,Automatic,₹11 Lakh
Hyundai Venue,S,2021,"29,326 kms",Petrol,Manual,₹5.45 Lakh
Mercedes-Benz C-Class,Progressive C 200,2019,"16,000 kms",Petrol,Automatic,₹28.90 Lakh
Hyundai Creta,E Diesel BSVI,2022,"18,000 kms",Diesel,Manual,₹10.75 Lakh
Maruti Suzuki Vitara Brezza,ZXI Plus,2021,"94,000 kms",Petrol,Manual,₹7 Lakh
Hyundai Creta,1.6 SX Automatic,2019,"70,000 kms",Petrol,Automatic,₹8.25 Lakh
Hyundai Venue,S Plus,2021,"21,000 kms",Petrol,Manual,₹5.60 Lakh
BMW X3,xDrive 30i Luxury Line,2019,"71,000 kms",Petrol,Automatic,₹26.90 Lakh
Maruti Suzuki Baleno,Sigma,2022,"23,000 kms",Petrol,Manual,₹5.70 Lakh
Mercedes-Benz E-Class,Elite E 350d,2024,"13,000 kms",Diesel,Automatic,₹64.90 Lakh
Toyota Glanza,G,2023,"45,000 kms",Petrol,Manual,₹6.90 Lakh
Audi Q3,30 TFSI Premium FWD,2018,"65,000 kms",Petrol,Automatic,₹18.90 Lakh
Toyota Etios,G,2011,"70,000 kms",Petrol,Manual,₹1.28 Lakh
Honda City,i VTEC V,2016,"50,000 kms",Petrol,Manual,₹4.50 Lakh
Toyota Glanza,G,2023,"85,000 kms",Petrol,Manual,₹7.50 Lakh
Mercedes-Benz E-Class,E 200 CGI,2015,"30,000 kms",Petrol,Automatic,₹13.90 Lakh
Toyota Innova Crysta,2.4 G MT 8S BSIV,2018,"1,85,000 kms",Diesel,Manual,₹12 Lakh
Toyota Fortuner,2.8 2WD MT BSIV,2018,"1,29,000 kms",Diesel,Manual,₹21.25 Lakh
Toyota Glanza,V,2022,"52,484 kms",Petrol,Manual,₹6.49 Lakh
Mercedes-Benz E-Class,Expression E 200 BSIV,2020,"50,000 kms",Petrol,Automatic,₹38.75 Lakh
Hyundai Creta,1.6 CRDi AT SX Plus,2018,"60,000 kms",Diesel,Automatic,₹8.50 Lakh
BMW X7,xDrive 40i M Sport,2022,"70,000 kms",Petrol,Automatic,₹76 Lakh
Mercedes-Benz GLC,220d 4MATIC Sport,2017,"77,000 kms",Diesel,Automatic,₹19.25 Lakh
Kia Carnival,Premium,2020,"90,000 kms",Diesel,Automatic,₹18.75 Lakh
Kia Carnival,Premium 8 STR,2021,"50,000 kms",Diesel,Automatic,₹18 Lakh
Honda City,i VTEC V,2015,"49,329 kms",Petrol,Manual,₹3.64 Lakh
Hyundai Venue,S Opt Plus,2024,"22,000 kms",Petrol,Manual,₹8.95 Lakh
Hyundai i20,Sportz 1.2,2016,"90,234 kms",Petrol,Manual,₹3.65 Lakh
Hyundai Tucson,GLS AT,2021,"55,000 kms",Petrol,Automatic,₹14 Lakh
Ford Ecosport,S Petrol BSIV,2019,"75,000 kms",Petrol,Manual,₹4.85 Lakh
Kia Seltos,HTX IVT,2020,"56,098 kms",Petrol,Automatic,₹9.85 Lakh
Hyundai i20,Sportz 1.2,2017,"49,000 kms",Petrol,Manual,₹3.75 Lakh
Toyota Etios,G,2011,"96,000 kms",Petrol,Manual,₹1.30 Lakh
Hyundai i20,Asta BSVI,2022,"48,000 kms",Petrol,Manual,₹6.90 Lakh
Honda City,ZX CVT,2017,"1,00,745 kms",Petrol,Automatic,₹5.91 Lakh
MG Hector,Hybrid Sharp MT BSIV,2019,"61,573 kms",Petrol,Manual,₹7.93 Lakh
Honda City,1.5 V MT Exclusive,2011,"1,60,000 kms",Petrol,Manual,₹1.99 Lakh
Kia Seltos,HTX G,2021,"27,000 kms",Petrol,Manual,₹10.25 Lakh
Mercedes-Benz GLE,300d BSVI,2022,"82,000 kms",Diesel,Automatic,₹54.90 Lakh
Ford Ecosport,1.5 Petrol Titanium Plus AT BSIV,2017,"67,000 kms",Petrol,Automatic,₹4.70 Lakh
BMW 6 Series,GT 630i M Sport BSVI,2022,"30,000 kms",Petrol,Automatic,₹47.50 Lakh
Audi Q5,Premium plus BSVI,2022,"43,000 kms",Petrol,Automatic,₹45 Lakh
Kia Seltos,HTX IVT G,2021,"42,000 kms",Petrol,Automatic,₹10.50 Lakh
Hyundai Venue,SX Opt Turbo BSIV,2019,"64,000 kms",Petrol,Manual,₹6.69 Lakh
Hyundai Grand i10,Asta Option AT,2016,"90,000 kms",Petrol,Automatic,₹2.95 Lakh
Toyota Glanza,V AMT,2024,"37,000 kms",Petrol,Automatic,₹7.25 Lakh
