Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price,Car_age,Price_per_year,KM_per_year
Maruti Suzuki FRONX,Delta Plus AMT,2024,24000,Petrol,Automatic,790000.0,2,395000.0,12000.0
Volkswagen Taigun,1.0 TSI Highline AT BSVI,2022,60000,Petrol,Automatic,900000.0,4,225000.0,15000.0
Hyundai Creta,SX Tech,2024,44000,Petrol,Manual,1375000.0,2,687500.0,22000.0
Ford Ecosport,S Petrol BSIV,2019,75000,Petrol,Manual,484999.99999999994,7,69285.71,10714.29
Kia Seltos,HTK G,2020,50000,Petrol,Manual,800000.0,6,133333.33,8333.33
Audi Q8,55 TFSI Quattro BSVI,2021,79000,Petrol,Automatic,5490000.0,5,1098000.0,15800.0
Hyundai Grand i10,1.2 Kappa Magna BSIV,2016,48569,Petrol,Manual,320000.0,10,32000.0,4856.9
Kia Carens,Prestige Plus DCT BSVI,2023,43000,Petrol,Automatic,1185000.0,3,395000.0,14333.33
Mahindra XUV500,W11 Option AT,2020,80000,Diesel,Automatic,1200000.0,6,200000.0,13333.33
Kia Sonet,GTX Plus Turbo DCT,2023,20000,Petrol,Automatic,1085000.0,3,361666.67,6666.67
Hyundai Creta,1.6 VTVT SX Plus,2016,52000,Petrol,Manual,625000.0,10,62500.0,5200.0
Hyundai Creta,S (O) iVT,2024,4000,Petrol,Automatic,1575000.0,2,787500.0,2000.0
Audi A4,30 TFSI Technology,2017,31000,Petrol,Automatic,1698999.9999999998,9,188777.78,3444.44
Toyota Innova Crysta,2.4 GX 7 STR,2020,132000,Diesel,Manual,1399000.0,6,233166.67,22000.0
Toyota Land Cruiser Prado,VXL,2019,146000,Diesel,Automatic,7800000.0,7,1114285.71,20857.14
Hyundai Creta,1.6 VTVT AT SX Plus,2016,62726,Petrol,Automatic,517000.0,10,51700.0,6272.6
Maruti Suzuki Wagon R,AMT VXI Plus Option,2017,56000,Petrol,Automatic,310000.0,9,34444.44,6222.22
Hyundai Creta,1.6 VTVT SX Plus,2018,61000,Petrol,Manual,750000.0,8,93750.0,7625.0
Maruti Suzuki Alto 800,CNG LXI,2014,56000,CNG,Manual,169000.0,12,14083.33,4666.67
Toyota Innova Crysta,2.8 ZX AT BSIV,2018,170000,Diesel,Automatic,1399000.0,8,174875.0,21250.0
Kia Seltos,HTK Plus G,2022,33000,Petrol,Manual,990000.0,4,247500.0,8250.0
MG Hector Plus,Sharp DCT,2020,15000,Petrol,Automatic,1225000.0,6,204166.67,2500.0
Tata Harrier,XZ Plus Dark Edition BSVI,2021,50000,Diesel,Manual,1100000.0,5,220000.0,10000.0
Hyundai Grand i10,1.2 Kappa Magna BSIV,2019,35689,Petrol,Manual,359000.0,7,51285.71,5098.43
Hyundai Creta,1.6 SX Automatic,2019,38000,Petrol,Automatic,890000.0,7,127142.86,5428.57
Honda Jazz,V,2019,40000,Petrol,Manual,465000.00000000006,7,66428.57,5714.29
Maruti Suzuki Brezza,Vxi CNG,2024,37000,CNG,Manual,900000.0,2,450000.0,18500.0
Jaguar F-Pace,Prestige 2.0 AWD,2017,78000,Diesel,Automatic,2000000.0,9,222222.22,8666.67
Mercedes-Benz V-Class,Elite,2021,40000,Diesel,Automatic,6000000.0,5,1200000.0,8000.0
Toyota Innova Crysta,2.4 GX 7 STR AT,2020,63585,Diesel,Automatic,1600000.0,6,266666.67,10597.5
Toyota Innova Crysta,2.8 GX AT BSIV,2017,156000,Diesel,Automatic,1075000.0,9,119444.44,17333.33
Mercedes-Benz V-Class,Exclusive,2019,48000,Diesel,Automatic,4575000.0,7,653571.43,6857.14
Hyundai Creta,S BSVI,2021,43000,Petrol,Manual,880000.0000000001,5,176000.0,8600.0
Audi Q7,40 TFSI Quattro Technology,2018,55000,Petrol,Automatic,3300000.0,8,412500.0,6875.0
Honda Jazz,V,2019,40500,Petrol,Manual,459999.99999999994,7,65714.29,5785.71
Lexus RX,450h Luxury,2017,70000,Petrol,Automatic,3500000.0,9,388888.89,7777.78
Hyundai Creta,1.6 SX Option,2019,85000,Petrol,Manual,685000.0,7,97857.14,12142.86
Kia Carnival,Prestige 6 STR,2020,77000,Diesel,Automatic,1989999.9999999998,6,331666.67,12833.33
Honda Elevate,ZX CVT Non RF,2024,22005,Petrol,Automatic,1555000.0,2,777500.0,11002.5
Toyota Innova Crysta,2.4 G Plus MT BSIV,2019,70000,Diesel,Manual,1350000.0,7,192857.14,10000.0
Honda Amaze,S Option i-VTEC,2018,78000,Petrol,Manual,385000.0,8,48125.0,9750.0
Audi Q7,40 TFSI Quattro,2018,53000,Petrol,Automatic,3100000.0,8,387500.0,6625.0
Toyota Innova Crysta,2.8 ZX AT BSIV,2019,135000,Diesel,Automatic,1575000.0,7,225000.0,19285.71
MG Hector,Sharp CVT,2021,61000,Petrol,Automatic,1140000.0,5,228000.0,12200.0
Kia Seltos,GTX,2019,42000,Petrol,Manual,1016000.0,7,145142.86,6000.0
Hyundai Grand i10 Nios,Sportz,2024,29322,Petrol,Manual,623000.0,2,311500.0,14661.0
Toyota Innova Crysta,2.4 G MT,2020,69023,Diesel,Manual,1475000.0,6,245833.33,11503.83
Toyota Innova Crysta,2.4 G Plus MT BSIV,2019,58023,Diesel,Manual,1375000.0,7,196428.57,8289.0
Honda Amaze 2nd Gen,S,2018,48519,Petrol,Manual,387000.0,8,48375.0,6064.88
Toyota Fortuner,4x2 Manual,2014,200000,Diesel,Manual,865000.0,12,72083.33,16666.67
MG Gloster,Black Storm 4x4 7Str,2023,66000,Diesel,Automatic,2950000.0,3,983333.33,22000.0
Hyundai Venue,SX BSVI,2022,21000,Petrol,Manual,890000.0,4,222500.0,5250.0
Hyundai Creta,SX Tech iVT,2024,23000,Petrol,Automatic,1595000.0,2,797500.0,11500.0
Mercedes-Benz E-Class,E 200 CGI,2012,67000,Petrol,Manual,520000.0,14,37142.86,4785.71
Jaguar XF,2.2 Litre Luxury,2016,70000,Diesel,Automatic,1295000.0,10,129500.0,7000.0
Hyundai Creta,1.6 VTVT SX Plus,2017,59000,Petrol,Manual,650000.0,9,72222.22,6555.56
Toyota Innova Crysta,2.4 G MT,2020,139000,Diesel,Manual,1485000.0,6,247500.0,23166.67
Maruti Suzuki Ertiga,VXI,2014,65000,Petrol,Manual,350000.0,12,29166.67,5416.67
Kia Seltos,HTK G,2020,31000,Petrol,Manual,785000.0,6,130833.33,5166.67
Toyota Innova Crysta,2.4 VX MT BSIV,2018,111000,Diesel,Manual,1400000.0,8,175000.0,13875.0
Ford Ecosport,1.5 Petrol Titanium Plus AT,2021,25000,Petrol,Automatic,875000.0,5,175000.0,5000.0
Skoda Superb,Laurin & klement BSVI,2022,30000,Petrol,Automatic,2500000.0,4,625000.0,7500.0
Land Rover Range Rover Velar,R-Dynamic S Diesel,2022,39000,Diesel,Automatic,6199000.0,4,1549750.0,9750.0
Kia Seltos,GTK,2019,31000,Petrol,Manual,1050000.0,7,150000.0,4428.57
Hyundai Aura,S CNG,2021,72000,CNG,Manual,565000.0,5,113000.0,14400.0
MG Hector,Smart DCT,2019,47968,Petrol,Automatic,736000.0,7,105142.86,6852.57
Audi Q7,40 TFSI Quattro Technology,2019,60000,Petrol,Automatic,3350000.0,7,478571.43,8571.43
Jaguar XF,2.0 Diesel Prestige,2015,76000,Diesel,Automatic,790000.0,11,71818.18,6909.09
Hyundai i20,Sportz,2024,32000,Petrol,Manual,692000.0,2,346000.0,16000.0
Toyota Innova Crysta,2.4 ZX 7 STR AT,2021,88000,Diesel,Automatic,2050000.0,5,410000.0,17600.0
Hyundai Creta,S BSVI,2021,64856,Petrol,Manual,900000.0,5,180000.0,12971.2
Volvo XC60,Inscription D5,2021,35000,Diesel,Automatic,3500000.0,5,700000.0,7000.0
Mercedes-Benz E-Class,Exclusive E 220 d BSIV,2019,70000,Diesel,Automatic,2450000.0,7,350000.0,10000.0
Kia Seltos,HTK Plus Turbo iMT,2023,50000,Petrol,Manual,1175000.0,3,391666.67,16666.67
Kia Seltos,HTK Plus G,2020,59200,Petrol,Manual,750000.0,6,125000.0,9866.67
Kia Seltos,HTX Diesel,2020,44439,Diesel,Manual,808000.0,6,134666.67,7406.5
Hyundai Kona,Premium,2022,60000,Electric,Automatic,1650000.0,4,412500.0,15000.0
MG ZS EV,Excite,2023,60000,Electric,Automatic,1550000.0,3,516666.67,20000.0
Toyota Innova Crysta,2.8 GX AT BSIV,2019,125000,Diesel,Automatic,1380000.0,7,197142.86,17857.14
Mercedes-Benz E-Class,Exclusive E 200,2023,60000,Petrol,Automatic,4690000.0,3,1563333.33,20000.0
Toyota Fortuner,2.8 4WD AT BSIV,2017,185000,Diesel,Automatic,1989999.9999999998,9,221111.11,20555.56
Lexus ES,300h Exquisite,2022,12000,Petrol,Automatic,4600000.0,4,1150000.0,3000.0
Hyundai Grand i10,Magna,2017,12000,Petrol,Manual,365000.0,9,40555.56,1333.33
Hyundai Alcazar,Prestige 7-Seater,2022,46221,Petrol,Manual,1073000.0,4,268250.0,11555.25
Audi A6,45 TFSI Premium Plus BSVI,2020,24577,Petrol,Automatic,2700000.0,6,450000.0,4096.17
Kia Sonet,HTX Plus Turbo iMT BSVI,2021,28278,Petrol,Manual,610000.0,5,122000.0,5655.6
MG Hector,1.5 Turbo Smart,2021,42511,Petrol,Manual,1207000.0,5,241400.0,8502.2
Hyundai Alcazar,Platinum (O) Turbo DCT 7 Seater,2023,43000,Petrol,Automatic,1550000.0,3,516666.67,14333.33
BMW X1,sDrive 20d xLine,2020,47000,Diesel,Automatic,2050000.0,6,341666.67,7833.33
Kia Seltos,GTX Plus DCT,2023,24000,Petrol,Automatic,1450000.0,3,483333.33,8000.0
Hyundai Creta,S (O) iVT,2024,22000,Petrol,Automatic,1495000.0,2,747500.0,11000.0
Hyundai Grand i10,1.2 Kappa Asta,2018,30000,Petrol,Manual,430000.0,8,53750.0,3750.0
Land Rover Discovery,HSE 2.0 SD4,2017,46000,Petrol,Automatic,1989999.9999999998,9,221111.11,5111.11
Hyundai Grand i10,1.2 Kappa Magna BSIV,2017,62000,Petrol,Manual,321000.0,9,35666.67,6888.89
Volkswagen Tiguan,2.0 TDI Highline,2020,65000,Diesel,Automatic,1685000.0000000002,6,280833.33,10833.33
Hyundai Creta,1.6 CRDi AT SX Plus,2018,75000,Diesel,Automatic,675000.0,8,84375.0,9375.0
Mahindra XUV700,AX7 6Str AT,2024,16000,Petrol,Automatic,1975000.0,2,987500.0,8000.0
Toyota Innova Crysta,2.4 GX 7 STR AT,2020,132000,Diesel,Automatic,1490000.0,6,248333.33,22000.0
Land Rover Discovery,HSE 2.0 SD4,2017,150000,Petrol,Automatic,1700000.0,9,188888.89,16666.67
Mercedes-Benz E-Class,E 200 CGI,2014,64000,Petrol,Automatic,1250000.0,12,104166.67,5333.33
Hyundai Creta,1.6 VTVT AT SX Plus,2019,26000,Petrol,Automatic,875000.0,7,125000.0,3714.29
Kia Carens Clavis,HTX Plus Turbo,2025,5000,Petrol,Manual,1875000.0,1,1875000.0,5000.0
Audi Q7,45 TDI Quattro Premium Plus,2019,157000,Diesel,Automatic,2590000.0,7,370000.0,22428.57
MG Hector,Sharp AT BSIV,2020,34000,Petrol,Automatic,1100000.0,6,183333.33,5666.67
Mahindra XUV700,MX BSVI,2022,94000,Petrol,Manual,980000.0000000001,4,245000.0,23500.0
Hyundai Grand i10,Sportz Plus,2017,72000,Petrol,Manual,385000.0,9,42777.78,8000.0
Toyota Innova Crysta,2.7 GX AT BSIV,2017,82000,Petrol,Automatic,1050000.0,9,116666.67,9111.11
Toyota Innova Crysta,2.4 G 7 STR,2022,69000,Diesel,Manual,1875000.0,4,468750.0,17250.0
Kia Seltos,GTX Plus DCT,2023,39000,Petrol,Automatic,1495000.0,3,498333.33,13000.0
Maruti Suzuki Ciaz,Zeta BSIV,2019,58000,Petrol,Manual,549000.0,7,78428.57,8285.71
Tata Nexon,XM S BSVI,2022,60000,Petrol,Manual,800000.0,4,200000.0,15000.0
Honda City,i VTEC V,2015,46000,Petrol,Manual,495000.0,11,45000.0,4181.82
Honda City,VX MT,2022,12053,Petrol,Manual,1025000.0,4,256250.0,3013.25
Toyota Fortuner,2.8 2WD AT BSIV,2018,78000,Diesel,Automatic,2325000.0,8,290625.0,9750.0
Hyundai Creta,1.6 VTVT SX Plus,2016,57000,Petrol,Manual,575000.0,10,57500.0,5700.0
Mercedes-Benz E-Class,Exclusive E 200 BSVI,2021,45000,Petrol,Automatic,3750000.0,5,750000.0,9000.0
Volkswagen Taigun,1.0 Comfortline,2024,13240,Petrol,Manual,886999.9999999999,2,443500.0,6620.0
Ford Freestyle,Titanium Petrol BSIV,2018,56000,Petrol,Manual,375000.0,8,46875.0,7000.0
Honda City,i VTEC V,2015,119495,Petrol,Manual,370000.0,11,33636.36,10863.18
Audi Q3 Sportback,40TFSI Quattro,2024,17000,Petrol,Automatic,4100000.0,2,2050000.0,8500.0
Honda Jazz,V,2019,40000,Petrol,Manual,484999.99999999994,7,69285.71,5714.29
Toyota Fortuner,4X2 Diesel AT,2023,90000,Diesel,Automatic,3000000.0,3,1000000.0,30000.0
Mercedes-Benz C-Class,C 200 CGI,2015,64586,Petrol,Automatic,1500000.0,11,136363.64,5871.45
Land Rover Defender,2.0 l Petrol 110 X-Dynamic HSE,2024,24000,Petrol,Automatic,11100000.000000002,2,5550000.0,12000.0
Honda WR-V,i-VTEC VX,2017,123355,Petrol,Manual,350000.0,9,38888.89,13706.11
Hyundai Creta,SX Diesel BSVI,2021,54000,Diesel,Manual,1250000.0,5,250000.0,10800.0
Toyota Innova Crysta,2.4 ZX MT BSIV,2018,43000,Diesel,Manual,1475000.0,8,184375.0,5375.0
Kia Sonet,GTX Plus Diesel AT BSVI,2021,50000,Diesel,Automatic,790000.0,5,158000.0,10000.0
Toyota Fortuner,2.8 2WD AT BSIV,2018,105000,Diesel,Automatic,2200000.0,8,275000.0,13125.0
Lexus ES,300h Exquisite,2022,12000,Petrol,Automatic,4599000.0,4,1149750.0,3000.0
Honda Amaze 2nd Gen,VX CVT BSVI,2021,33000,Petrol,Automatic,675000.0,5,135000.0,6600.0
MG Hector,Sharp CVT,2021,55000,Petrol,Automatic,1125000.0,5,225000.0,11000.0
BMW 3 Series GT,Luxury Line,2016,91500,Diesel,Automatic,1350000.0,10,135000.0,9150.0
MG Hector Plus,Sharp CVT,2021,37052,Petrol,Automatic,1275000.0,5,255000.0,7410.4
Maruti Suzuki Baleno,Delta,2021,30000,Petrol,Manual,475000.0,5,95000.0,6000.0
Mercedes-Benz GLS,350d 4MATIC,2018,80000,Diesel,Automatic,2990000.0,8,373750.0,10000.0
Jaguar F-Pace,Prestige 2.0 Petrol,2019,41000,Petrol,Automatic,3900000.0,7,557142.86,5857.14
Tata Safari,XT Plus BSVI,2021,70000,Diesel,Manual,1050000.0,5,210000.0,14000.0
Honda City,i VTEC V,2016,51000,Petrol,Manual,450000.0,10,45000.0,5100.0
Audi Q5,Technology BSVI,2023,25000,Petrol,Automatic,4400000.0,3,1466666.67,8333.33
Toyota Innova Crysta,2.4 ZX 7 STR AT,2022,60000,Diesel,Automatic,2250000.0,4,562500.0,15000.0
Jeep Compass,Model S DCT BSVI,2023,60000,Petrol,Automatic,2000000.0,3,666666.67,20000.0
Audi Q3,Premium Plus,2023,54000,Petrol,Automatic,2900000.0,3,966666.67,18000.0
Mercedes-Benz GLA Class,200 CDI,2017,34000,Diesel,Automatic,1625000.0,9,180555.56,3777.78
Mahindra Thar,LX Hard Top Diesel,2023,20400,Diesel,Manual,1250000.0,3,416666.67,6800.0
Kia Seltos,GTX Plus DCT,2021,48023,Petrol,Automatic,1225000.0,5,245000.0,9604.6
Mercedes-Benz GLC,200,2020,31000,Petrol,Automatic,3690000.0,6,615000.0,5166.67
Kia Carens,Prestige BSVI,2022,36000,Petrol,Manual,965000.0,4,241250.0,9000.0
Mahindra Scorpio N,Z8 AT,2024,27000,Petrol,Automatic,1875000.0,2,937500.0,13500.0
Mercedes-Benz E-Class,E 200 CGI,2015,55000,Petrol,Automatic,1525000.0,11,138636.36,5000.0
Audi Q3,30 TFSI Premium FWD,2017,57000,Petrol,Automatic,1625000.0,9,180555.56,6333.33
Kia Seltos,HTK G,2020,75000,Petrol,Manual,790000.0,6,131666.67,12500.0
BMW 5 Series,530i M Sport BSVI,2022,52357,Petrol,Automatic,4500000.0,4,1125000.0,13089.25
Hyundai Creta,SX Premium iVT,2025,19000,Petrol,Automatic,1785000.0000000002,1,1785000.0,19000.0
Honda City,CVT,2023,14091,Petrol,Automatic,1152000.0,3,384000.0,4697.0
Honda Jazz,1.2 V AT i VTEC,2017,89904,Petrol,Automatic,348000.0,9,38666.67,9989.33
Ford Endeavour,Titanium Plus 4X2,2019,50000,Diesel,Automatic,2300000.0,7,328571.43,7142.86
Toyota Innova Crysta,2.8 GX AT BSIV,2018,137000,Diesel,Automatic,1275000.0,8,159375.0,17125.0
Hyundai Creta,SX (O) Turbo DCT,2024,13185,Petrol,Automatic,1570000.0,2,785000.0,6592.5
MG Hector,1.5 Turbo Sharp pro CVT BSVI,2023,55188,Petrol,Automatic,1383000.0,3,461000.0,18396.0
Jeep Meridian,Limited Opt AT 4x4,2024,19000,Diesel,Automatic,2795000.0,2,1397500.0,9500.0
Jeep Meridian,Limited Opt AT BSVI,2022,82000,Diesel,Automatic,2095000.0,4,523750.0,20500.0
Mercedes-Benz GLS,400d 4MATIC BSVI,2021,42000,Diesel,Automatic,8190000.000000001,5,1638000.0,8400.0
Audi Q7,45 TFSI Technology,2019,90000,Petrol,Automatic,3490000.0,7,498571.43,12857.14
Hyundai Grand i10,Prime T Plus CNG,2018,68000,CNG,Manual,390000.0,8,48750.0,8500.0
MG Hector Plus,1.5 Turbo Sharp Pro 7 Str BSVI,2023,19985,Petrol,Manual,1238000.0,3,412666.67,6661.67
Kia Seltos,GTX DCT,2021,73052,Petrol,Automatic,771000.0,5,154200.0,14610.4
Hyundai Creta,1.6 VTVT AT SX Plus,2017,76258,Petrol,Automatic,539000.0,9,59888.89,8473.11
Mahindra Scorpio,S4 Plus,2017,60000,Diesel,Manual,690000.0,9,76666.67,6666.67
Kia Sonet,GTX Plus Turbo DCT BSVI,2023,20000,Petrol,Automatic,1099000.0,3,366333.33,6666.67
Mahindra Thar,LX 4WD Hard Top BSVI,2021,90000,Petrol,Manual,950000.0,5,190000.0,18000.0
Honda Jazz,1.2 V AT i VTEC,2015,76000,Petrol,Automatic,409999.99999999994,11,37272.73,6909.09
Mercedes-Benz E-Class,Exclusive E 200 BSIV,2018,48000,Petrol,Automatic,2890000.0,8,361250.0,6000.0
Hyundai Grand i10,1.2 Kappa Magna AT,2018,55000,Petrol,Automatic,425000.0,8,53125.0,6875.0
Mahindra Thar,LX 4WD Hard Top AT BSVI,2023,21000,Petrol,Automatic,1375000.0,3,458333.33,7000.0
Mercedes-Benz GLS,350d 4MATIC,2017,126000,Diesel,Automatic,2200000.0,9,244444.44,14000.0
BMW X1,sDrive 20d xLine,2018,52000,Diesel,Automatic,1789999.9999999998,8,223750.0,6500.0
Hyundai Grand i10,1.2 Kappa Sportz Option AT,2018,63174,Petrol,Automatic,360000.0,8,45000.0,7896.75
Toyota Fortuner,4X2 AT BSVI,2023,28000,Petrol,Automatic,3300000.0,3,1100000.0,9333.33
BMW X1,sDrive 20d xLine,2017,40000,Diesel,Automatic,1590000.0,9,176666.67,4444.44
Mercedes-Benz GLC,300,2025,6800,Petrol,Automatic,7500000.0,1,7500000.0,6800.0
Audi Q3 Sportback,Technology,2023,12000,Petrol,Automatic,3700000.0,3,1233333.33,4000.0
Tata Curvv,Accomplished S DCA,2024,10000,Petrol,Automatic,1310000.0,2,655000.0,5000.0
Mercedes-Benz GLE,300d 4Matic,2024,36800,Diesel,Automatic,8400000.0,2,4200000.0,18400.0
Volvo S60,D4 Momentum BSIV,2018,40000,Diesel,Automatic,1490000.0,8,186250.0,5000.0
Tata Curvv,Accomplished S DCA,2025,15000,Petrol,Automatic,1278000.0,1,1278000.0,15000.0
Mercedes-Benz E-Class,Exclusive E 200 BSVI,2021,59000,Petrol,Automatic,4350000.0,5,870000.0,11800.0
Mercedes-Benz GLS,450d 4matic,2024,24500,Diesel,Automatic,11800000.0,2,5900000.0,12250.0
Toyota Innova Crysta,2.7 GX AT BSIV,2018,62000,Petrol,Automatic,1350000.0,8,168750.0,7750.0
Audi Q2,Technology,2021,76000,Petrol,Automatic,1850000.0,5,370000.0,15200.0
Ford Ecosport,1.5 Petrol Titanium Plus BSIV,2016,20000,Petrol,Manual,440000.00000000006,10,44000.0,2000.0
Mercedes-Benz E-Class,Exclusive E 200,2023,6600,Petrol,Automatic,6150000.0,3,2050000.0,2200.0
Mercedes-Benz GLC,200,2022,74142,Petrol,Automatic,3850000.0,4,962500.0,18535.5
Mercedes-Benz GLS,400d 4MATIC BSVI,2022,45000,Diesel,Automatic,8790000.0,4,2197500.0,11250.0
Honda Amaze 2nd Gen,S,2023,68000,Petrol,Manual,625000.0,3,208333.33,22666.67
Mercedes-Benz E-Class,Expression E 200 BSIV,2019,88700,Petrol,Automatic,3200000.0,7,457142.86,12671.43
Toyota Innova Crysta,2.4 G 7 STR,2021,65000,Diesel,Manual,1450000.0,5,290000.0,13000.0
Honda City,i VTEC V,2016,82000,Petrol,Manual,499000.0,10,49900.0,8200.0
Honda City,i VTEC SV,2016,83000,Petrol,Manual,425000.0,10,42500.0,8300.0
Mercedes-Benz E-Class,Exclusive E 200,2023,16300,Petrol,Automatic,6000000.0,3,2000000.0,5433.33
Mercedes-Benz C-Class,C 250 CDI Avantgarde,2018,75000,Diesel,Automatic,1850000.0,8,231250.0,9375.0
Honda Amaze 2nd Gen,S BSVI,2022,39000,Petrol,Manual,585000.0,4,146250.0,9750.0
Kia Seltos,GTX Plus,2021,54000,Petrol,Manual,1100000.0,5,220000.0,10800.0
Mercedes-Benz GLC,300,2024,9600,Petrol,Automatic,6500000.0,2,3250000.0,4800.0
Honda City,i VTEC V,2017,77000,Petrol,Manual,490000.00000000006,9,54444.44,8555.56
Mercedes-Benz E-Class,E 200 CGI,2017,34000,Petrol,Automatic,2490000.0,9,276666.67,3777.78
Volvo XC60,B5 Ultimate,2025,26000,Petrol,Automatic,5350000.0,1,5350000.0,26000.0
Kia Seltos,HTK Plus (O) iVT,2025,11023,Petrol,Automatic,1525000.0,1,1525000.0,11023.0
Honda City,i VTEC CVT SV,2014,78000,Petrol,Automatic,320000.0,12,26666.67,6500.0
Mercedes-Benz E-Class,Exclusive E 220d,2021,45200,Diesel,Automatic,4250000.0,5,850000.0,9040.0
Honda City,i VTEC V,2016,3800,Petrol,Manual,575000.0,10,57500.0,380.0
Lexus ES,300h Exquisite,2023,38000,Petrol,Automatic,4490000.0,3,1496666.67,12666.67
Honda Amaze 2nd Gen,S BSVI,2022,45000,Petrol,Manual,600000.0,4,150000.0,11250.0
Mercedes-Benz GLS,450 4MATIC BSVI,2022,34000,Petrol,Automatic,8700000.0,4,2175000.0,8500.0
Maruti Suzuki Grand Vitara,Zeta AT,2023,55000,Petrol,Automatic,1099000.0,3,366333.33,18333.33
Toyota Innova Crysta,2.4 ZX MT BSIV,2017,207000,Diesel,Manual,1149000.0,9,127666.67,23000.0
BMW 3 Series GT,Luxury Line,2019,39000,Diesel,Automatic,2290000.0,7,327142.86,5571.43
Land Rover Range Rover Sport,2.0 Petrol HSE,2021,50000,Petrol,Automatic,7200000.0,5,1440000.0,10000.0
Hyundai Alcazar,Platinum 7-Seater Diesel,2023,65000,Diesel,Manual,1350000.0,3,450000.0,21666.67
Ford Ecosport,1.5 Petrol Titanium,2020,17000,Petrol,Manual,675000.0,6,112500.0,2833.33
Mercedes-Benz E-Class,Expression E 200 BSIV,2018,65000,Petrol,Automatic,2750000.0,8,343750.0,8125.0
Maruti Suzuki Alto K10,VXI S-CNG,2024,20000,CNG,Manual,480000.0,2,240000.0,10000.0
Volkswagen Taigun,1.0 Highline AT,2025,781,Petrol,Automatic,1350000.0,1,1350000.0,781.0
Ford Ecosport,1.5 TDCi Titanium BSIV,2017,75000,Diesel,Manual,425000.0,9,47222.22,8333.33
BMW X7,xDrive 40i M Sport,2022,29000,Petrol,Automatic,8500000.0,4,2125000.0,7250.0
Hyundai Creta,SX Opt Turbo BSVI,2021,89903,Petrol,Automatic,984000.0,5,196800.0,17980.6
Honda City,CVT,2024,12744,Petrol,Automatic,1525000.0,2,762500.0,6372.0
BMW 5 Series,530i M Sport,2021,37400,Petrol,Automatic,4650000.0,5,930000.0,7480.0
Kia Carnival,Limousine Plus,2022,98000,Diesel,Automatic,2590000.0,4,647500.0,24500.0
Mercedes-Benz GLC,220d 4MATIC Sport,2018,33000,Diesel,Automatic,2350000.0,8,293750.0,4125.0
BMW XM,xDrive,2024,26000,Petrol,Automatic,14500000.0,2,7250000.0,13000.0
Honda WR-V,i-VTEC VX,2019,25000,Petrol,Manual,675000.0,7,96428.57,3571.43
Tata Tiago NRG,Petrol,2018,85225,Petrol,Manual,315000.0,8,39375.0,10653.12
Maruti Suzuki Swift Dzire,LDI,2017,65000,Diesel,Manual,345000.0,9,38333.33,7222.22
Honda City,i-VTEC ZX,2019,46097,Petrol,Manual,715000.0,7,102142.86,6585.29
Mercedes-Benz GLC,200,2022,25856,Petrol,Automatic,4900000.0,4,1225000.0,6464.0
BMW X7,xDrive 40i M Sport,2020,77215,Petrol,Automatic,6300000.0,6,1050000.0,12869.17
Maruti Suzuki Grand Vitara,Delta AT,2023,33000,Petrol,Automatic,1125000.0,3,375000.0,11000.0
Honda Elevate,ZX CVT Dual Tone,2024,17000,Petrol,Automatic,1425000.0,2,712500.0,8500.0
Honda City,i-VTEC CVT ZX,2018,33000,Petrol,Automatic,750000.0,8,93750.0,4125.0
Tata Nexon EV,XZ Plus,2023,37846,Electric,Automatic,800000.0,3,266666.67,12615.33
Mercedes-Benz CLA,200 CGI Sport,2018,48000,Petrol,Automatic,1798999.9999999998,8,224875.0,6000.0
Hyundai i10,Era,2015,71000,Petrol,Manual,335000.0,11,30454.55,6454.55
Ford Ecosport,1.5 Diesel Titanium Plus BSIV,2017,72000,Diesel,Manual,450000.0,9,50000.0,8000.0
Mahindra Scorpio N,Z8L Diesel 4x4 2023-2025,2024,21000,Diesel,Manual,2275000.0,2,1137500.0,10500.0
Hyundai Creta,1.6 VTVT SX Plus,2017,79000,Petrol,Manual,575000.0,9,63888.89,8777.78
Mercedes-Benz C-Class,C 200 CGI,2016,60000,Petrol,Automatic,1550000.0,10,155000.0,6000.0
Honda Jazz,1.2 V i VTEC,2016,52000,Petrol,Manual,335000.0,10,33500.0,5200.0
MG Comet EV,Play,2023,36000,Electric,Automatic,649000.0,3,216333.33,12000.0
Mercedes-Benz GLC,300,2024,8600,Petrol,Automatic,6500000.0,2,3250000.0,4300.0
Maruti Suzuki Grand Vitara,Zeta AT,2023,39000,Petrol,Automatic,1149000.0,3,383000.0,13000.0
Kia Seltos,HTX IVT G,2021,29000,Petrol,Automatic,1090000.0,5,218000.0,5800.0
BMW X5,xDrive40i xLine,2025,3000,Petrol,Automatic,9500000.0,1,9500000.0,3000.0
Mercedes-Benz GLC,220d 4MATIC Sport,2017,75000,Diesel,Automatic,1925000.0,9,213888.89,8333.33
Mercedes-Benz E-Class,Elite E 350d,2024,9000,Diesel,Automatic,6800000.0,2,3400000.0,4500.0
Renault KWID,RXL,2016,60000,Petrol,Manual,165000.0,10,16500.0,6000.0
Lexus NX,350h Exquisite,2024,13000,Petrol,Automatic,6800000.0,2,3400000.0,6500.0
Mercedes-Benz GLC,200,2022,26000,Petrol,Automatic,4250000.0,4,1062500.0,6500.0
BMW X1,sDrive 20d xLine,2018,70000,Diesel,Automatic,1700000.0,8,212500.0,8750.0
