Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price,Car_age,Brand,Price_per_year,KM_per_year,Car_type
MG Hector Plus,1.5 Turbo Sharp Pro CVT 7 Str BSVI,2023,49000,Petrol,Automatic,1490000.0,3,MG,496666.67,16333.33,Non-Luxury
Volvo XC40,D4 Inscription BSIV,2019,65000,Diesel,Automatic,1698999.9999999998,7,Volvo,242714.29,9285.71,Non-Luxury
Honda CR-V,2.0 CVT,2020,59000,Petrol,Automatic,1689999.9999999998,6,Honda,281666.67,9833.33,Non-Luxury
Honda CR-V,2.0 CVT,2020,55000,Petrol,Automatic,1680000.0,6,Honda,280000.0,9166.67,Non-Luxury
Kia Seltos,GTX Plus DCT,2020,65897,Petrol,Automatic,1065000.0,6,Kia,177500.0,10982.83,Non-Luxury
Mercedes-Benz GLA Class,200 CDI,2016,50000,Diesel,Automatic,1225000.0,10,Mercedes-Benz,122500.0,5000.0,Non-Luxury
Hyundai Creta,1.6 VTVT SX Plus,2016,79142,Petrol,Manual,575000.0,10,Hyundai,57500.0,7914.2,Non-Luxury
Kia Seltos,HTX,2024,6500,Petrol,Manual,1375000.0,2,Kia,687500.0,3250.0,Non-Luxury
Kia Seltos,HTX,2026,450,Petrol,Manual,2000000.0,0,Kia,,,Non-Luxury
Volvo XC90,D5 R-Design,2017,102000,Diesel,Automatic,1900000.0,9,Volvo,211111.11,11333.33,Non-Luxury
Hyundai Creta,SX,2024,32000,Petrol,Manual,1075000.0,2,Hyundai,537500.0,16000.0,Non-Luxury
Honda Amaze 2nd Gen,S,2018,47928,Petrol,Manual,401000.0,8,Honda,50125.0,5991.0,Non-Luxury
Maruti Suzuki Wagon R,LXI CNG,2018,70000,CNG,Manual,290000.0,8,Maruti Suzuki,36250.0,8750.0,Non-Luxury
MG Hector,1.5 Turbo Sharp pro CVT BSVI,2023,15040,Petrol,Automatic,1498000.0,3,MG,499333.33,5013.33,Non-Luxury
MG Hector,1.5 Turbo Savvy Pro CVT BSVI,2023,8000,Petrol,Automatic,1475000.0,3,MG,491666.67,2666.67,Non-Luxury
MG Hector,Sharp AT BSIV,2021,17000,Petrol,Automatic,1295000.0,5,MG,259000.0,3400.0,Non-Luxury
Mercedes-Benz C-Class,C 200,2024,10000,Petrol,Automatic,4500000.0,2,Mercedes-Benz,2250000.0,5000.0,Non-Luxury
Kia Seltos,HTX IVT G,2021,61000,Petrol,Automatic,998000.0,5,Kia,199600.0,12200.0,Non-Luxury
Volvo S60,D4 Momentum BSIV,2018,45000,Diesel,Automatic,1789999.9999999998,8,Volvo,223750.0,5625.0,Non-Luxury
Hyundai Creta,SX BSVI,2022,36000,Petrol,Manual,1100000.0,4,Hyundai,275000.0,9000.0,Non-Luxury
Honda Jazz,S,2012,100000,Petrol,Manual,150000.0,14,Honda,10714.29,7142.86,Non-Luxury
MG Gloster,Desert Storm 4x2 6Str,2024,34000,Diesel,Automatic,3125000.0,2,MG,1562500.0,17000.0,Non-Luxury
Kia Sonet,HTX Turbo iMT BSVI,2021,48752,Petrol,Manual,690000.0,5,Kia,138000.0,9750.4,Non-Luxury
Hyundai Creta,1.6 SX Option,2018,109975,Petrol,Manual,640000.0,8,Hyundai,80000.0,13746.88,Non-Luxury
Maruti Suzuki Swift,LXI Option,2015,40000,Petrol,Manual,325000.0,11,Maruti Suzuki,29545.45,3636.36,Non-Luxury
Mercedes-Benz E-Class,E 200 CGI,2016,38000,Petrol,Automatic,1675000.0,10,Mercedes-Benz,167500.0,3800.0,Non-Luxury
Kia Seltos,HTK Plus D,2021,107115,Diesel,Manual,755000.0,5,Kia,151000.0,21423.0,Non-Luxury
Hyundai Grand i10,Magna,2017,50000,Petrol,Manual,319000.0,9,Hyundai,35444.44,5555.56,Non-Luxury
Maruti Suzuki Swift,VXI,2015,50000,Petrol,Manual,270000.0,11,Maruti Suzuki,24545.45,4545.45,Non-Luxury
Mahindra XUV300,W6 Sunroof BSVI,2022,83000,Petrol,Manual,695000.0,4,Mahindra,173750.0,20750.0,Non-Luxury
Lexus ES,300h Luxury 2020-2022,2020,65000,Petrol,Automatic,3245000.0000000005,6,Lexus,540833.33,10833.33,Non-Luxury
Hyundai Creta,1.6 SX Automatic,2019,73000,Petrol,Automatic,850000.0,7,Hyundai,121428.57,10428.57,Non-Luxury
Kia Seltos,GTX Plus S Turbo DCT,2019,74991,Petrol,Automatic,977000.0,7,Kia,139571.43,10713.0,Non-Luxury
Mercedes-Benz E-Class,Exclusive E 200 BSIV,2017,34000,Petrol,Automatic,2490000.0,9,Mercedes-Benz,276666.67,3777.78,Non-Luxury
MG Hector,Select Pro CVT 2023-2025,2024,11000,Petrol,Automatic,1550000.0,2,MG,775000.0,5500.0,Non-Luxury
Ford Ecosport,Thunder Edition Petrol BSIV,2019,75000,Petrol,Manual,475000.0,7,Ford,67857.14,10714.29,Non-Luxury
Hyundai Creta,EX(O) iVT,2025,11000,Petrol,Automatic,1435000.0,1,Hyundai,1435000.0,11000.0,Non-Luxury
Maruti Suzuki Swift,1.2 VXi BSII,2010,40000,Petrol,Manual,180000.0,16,Maruti Suzuki,11250.0,2500.0,Non-Luxury
Honda WR-V,i-VTEC VX,2019,68000,Petrol,Manual,570000.0,7,Honda,81428.57,9714.29,Non-Luxury
Hyundai Grand i10,1.2 Kappa Magna BSIV,2018,62269,Petrol,Manual,347000.0,8,Hyundai,43375.0,7783.62,Non-Luxury
MG Hector Plus,Sharp Diesel MT,2022,44951,Diesel,Manual,1132000.0,4,MG,283000.0,11237.75,Non-Luxury
Maruti Suzuki Grand Vitara,Delta CNG 2 Airbag,2024,20000,CNG,Manual,1250000.0,2,Maruti Suzuki,625000.0,10000.0,Non-Luxury
Mercedes-Benz V-Class,Exclusive,2019,45000,Diesel,Automatic,4600000.0,7,Mercedes-Benz,657142.86,6428.57,Non-Luxury
Audi Q7,Technology,2023,29000,Petrol,Automatic,6650000.0,3,Audi,2216666.67,9666.67,Luxury
MG Hector Plus,1.5 Turbo Sharp Pro CVT 7 Str BSVI,2020,79445,Petrol,Automatic,1013000.0,6,MG,168833.33,13240.83,Non-Luxury
Mercedes-Benz E-Class,Expression E 220 d BSIV,2019,58000,Diesel,Automatic,2650000.0,7,Mercedes-Benz,378571.43,8285.71,Non-Luxury
Kia Seltos,HTX Plus Diesel,2022,40000,Diesel,Manual,1199000.0,4,Kia,299750.0,10000.0,Non-Luxury
Honda City,i VTEC CVT VX,2015,120000,Petrol,Automatic,450000.0,11,Honda,40909.09,10909.09,Non-Luxury
MG Hector Plus,Select Diesel MT 7 STR,2021,97000,Diesel,Manual,875000.0,5,MG,175000.0,19400.0,Non-Luxury
Mercedes-Benz C-Class,C 220 CDI Avantgarde,2018,48000,Diesel,Automatic,1950000.0,8,Mercedes-Benz,243750.0,6000.0,Non-Luxury
Kia Carens,Luxury Plus iMT BSVI,2022,72000,Petrol,Automatic,1211000.0,4,Kia,302750.0,18000.0,Non-Luxury
Maruti Suzuki FRONX,Delta Plus AMT,2024,24000,Petrol,Automatic,790000.0,2,Maruti Suzuki,395000.0,12000.0,Non-Luxury
Volkswagen Taigun,1.0 TSI Highline AT BSVI,2022,60000,Petrol,Automatic,900000.0,4,Volkswagen,225000.0,15000.0,Non-Luxury
Hyundai Creta,SX Tech,2024,44000,Petrol,Manual,1375000.0,2,Hyundai,687500.0,22000.0,Non-Luxury
Ford Ecosport,S Petrol BSIV,2019,75000,Petrol,Manual,485000.0,7,Ford,69285.71,10714.29,Non-Luxury
Kia Seltos,HTK G,2020,50000,Petrol,Manual,800000.0,6,Kia,133333.33,8333.33,Non-Luxury
Audi Q8,55 TFSI Quattro BSVI,2021,79000,Petrol,Automatic,5490000.0,5,Audi,1098000.0,15800.0,Luxury
Hyundai Grand i10,1.2 Kappa Magna BSIV,2016,48569,Petrol,Manual,320000.0,10,Hyundai,32000.0,4856.9,Non-Luxury
Kia Carens,Prestige Plus DCT BSVI,2023,43000,Petrol,Automatic,1185000.0,3,Kia,395000.0,14333.33,Non-Luxury
Mahindra XUV500,W11 Option AT,2020,80000,Diesel,Automatic,1200000.0,6,Mahindra,200000.0,13333.33,Non-Luxury
Kia Sonet,GTX Plus Turbo DCT,2023,20000,Petrol,Automatic,1085000.0,3,Kia,361666.67,6666.67,Non-Luxury
Hyundai Creta,1.6 VTVT SX Plus,2016,52000,Petrol,Manual,625000.0,10,Hyundai,62500.0,5200.0,Non-Luxury
Hyundai Creta,S (O) iVT,2024,4000,Petrol,Automatic,1575000.0,2,Hyundai,787500.0,2000.0,Non-Luxury
Audi A4,30 TFSI Technology,2017,31000,Petrol,Automatic,1698999.9999999998,9,Audi,188777.78,3444.44,Non-Luxury
Toyota Innova Crysta,2.4 GX 7 STR,2020,132000,Diesel,Manual,1399000.0,6,Toyota,233166.67,22000.0,Non-Luxury
Toyota Land Cruiser Prado,VXL,2019,146000,Diesel,Automatic,7800000.0,7,Toyota,1114285.71,20857.14,Luxury
Hyundai Creta,1.6 VTVT AT SX Plus,2016,62726,Petrol,Automatic,517000.0,10,Hyundai,51700.0,6272.6,Non-Luxury
Maruti Suzuki Wagon R,AMT VXI Plus Option,2017,56000,Petrol,Automatic,310000.0,9,Maruti Suzuki,34444.44,6222.22,Non-Luxury
Hyundai Creta,1.6 VTVT SX Plus,2018,61000,Petrol,Manual,750000.0,8,Hyundai,93750.0,7625.0,Non-Luxury
Maruti Suzuki Alto 800,CNG LXI,2014,56000,CNG,Manual,169000.0,12,Maruti Suzuki,14083.33,4666.67,Non-Luxury
Toyota Innova Crysta,2.8 ZX AT BSIV,2018,170000,Diesel,Automatic,1399000.0,8,Toyota,174875.0,21250.0,Non-Luxury
Kia Seltos,HTK Plus G,2022,33000,Petrol,Manual,990000.0,4,Kia,247500.0,8250.0,Non-Luxury
MG Hector Plus,Sharp DCT,2020,15000,Petrol,Automatic,1225000.0,6,MG,204166.67,2500.0,Non-Luxury
Tata Harrier,XZ Plus Dark Edition BSVI,2021,50000,Diesel,Manual,1100000.0,5,Tata,220000.0,10000.0,Non-Luxury
Hyundai Grand i10,1.2 Kappa Magna BSIV,2019,35689,Petrol,Manual,359000.0,7,Hyundai,51285.71,5098.43,Non-Luxury
Hyundai Creta,1.6 SX Automatic,2019,38000,Petrol,Automatic,890000.0,7,Hyundai,127142.86,5428.57,Non-Luxury
Honda Jazz,V,2019,40000,Petrol,Manual,465000.00000000006,7,Honda,66428.57,5714.29,Non-Luxury
Maruti Suzuki Brezza,Vxi CNG,2024,37000,CNG,Manual,900000.0,2,Maruti Suzuki,450000.0,18500.0,Non-Luxury
Jaguar F-Pace,Prestige 2.0 AWD,2017,78000,Diesel,Automatic,2000000.0,9,Jaguar,222222.22,8666.67,Non-Luxury
Mercedes-Benz V-Class,Elite,2021,40000,Diesel,Automatic,6000000.0,5,Mercedes-Benz,1200000.0,8000.0,Luxury
Toyota Innova Crysta,2.4 GX 7 STR AT,2020,63585,Diesel,Automatic,1600000.0,6,Toyota,266666.67,10597.5,Non-Luxury
Toyota Innova Crysta,2.8 GX AT BSIV,2017,156000,Diesel,Automatic,1075000.0,9,Toyota,119444.44,17333.33,Non-Luxury
Mercedes-Benz V-Class,Exclusive,2019,48000,Diesel,Automatic,4575000.0,7,Mercedes-Benz,653571.43,6857.14,Non-Luxury
Hyundai Creta,S BSVI,2021,43000,Petrol,Manual,880000.0000000001,5,Hyundai,176000.0,8600.0,Non-Luxury
Audi Q7,40 TFSI Quattro Technology,2018,55000,Petrol,Automatic,3300000.0,8,Audi,412500.0,6875.0,Non-Luxury
Honda Jazz,V,2019,40500,Petrol,Manual,460000.0,7,Honda,65714.29,5785.71,Non-Luxury
Lexus RX,450h Luxury,2017,70000,Petrol,Automatic,3500000.0,9,Lexus,388888.89,7777.78,Non-Luxury
Hyundai Creta,1.6 SX Option,2019,85000,Petrol,Manual,685000.0,7,Hyundai,97857.14,12142.86,Non-Luxury
Kia Carnival,Prestige 6 STR,2020,77000,Diesel,Automatic,1990000.0,6,Kia,331666.67,12833.33,Non-Luxury
Honda Elevate,ZX CVT Non RF,2024,22005,Petrol,Automatic,1555000.0,2,Honda,777500.0,11002.5,Non-Luxury
Toyota Innova Crysta,2.4 G Plus MT BSIV,2019,70000,Diesel,Manual,1350000.0,7,Toyota,192857.14,10000.0,Non-Luxury
Honda Amaze,S Option i-VTEC,2018,78000,Petrol,Manual,385000.0,8,Honda,48125.0,9750.0,Non-Luxury
Audi Q7,40 TFSI Quattro,2018,53000,Petrol,Automatic,3100000.0,8,Audi,387500.0,6625.0,Non-Luxury
Toyota Innova Crysta,2.8 ZX AT BSIV,2019,135000,Diesel,Automatic,1575000.0,7,Toyota,225000.0,19285.71,Non-Luxury
MG Hector,Sharp CVT,2021,61000,Petrol,Automatic,1140000.0,5,MG,228000.0,12200.0,Non-Luxury
Kia Seltos,GTX,2019,42000,Petrol,Manual,1016000.0,7,Kia,145142.86,6000.0,Non-Luxury
Hyundai Grand i10 Nios,Sportz,2024,29322,Petrol,Manual,623000.0,2,Hyundai,311500.0,14661.0,Non-Luxury
Toyota Innova Crysta,2.4 G MT,2020,69023,Diesel,Manual,1475000.0,6,Toyota,245833.33,11503.83,Non-Luxury
Toyota Innova Crysta,2.4 G Plus MT BSIV,2019,58023,Diesel,Manual,1375000.0,7,Toyota,196428.57,8289.0,Non-Luxury
Honda Amaze 2nd Gen,S,2018,48519,Petrol,Manual,387000.0,8,Honda,48375.0,6064.88,Non-Luxury
Toyota Fortuner,4x2 Manual,2014,200000,Diesel,Manual,865000.0,12,Toyota,72083.33,16666.67,Non-Luxury
MG Gloster,Black Storm 4x4 7Str,2023,66000,Diesel,Automatic,2950000.0,3,MG,983333.33,22000.0,Non-Luxury
Hyundai Venue,SX BSVI,2022,21000,Petrol,Manual,890000.0,4,Hyundai,222500.0,5250.0,Non-Luxury
Hyundai Creta,SX Tech iVT,2024,23000,Petrol,Automatic,1595000.0,2,Hyundai,797500.0,11500.0,Non-Luxury
Mercedes-Benz E-Class,E 200 CGI,2012,67000,Petrol,Manual,520000.0,14,Mercedes-Benz,37142.86,4785.71,Non-Luxury
Jaguar XF,2.2 Litre Luxury,2016,70000,Diesel,Automatic,1295000.0,10,Jaguar,129500.0,7000.0,Non-Luxury
Hyundai Creta,1.6 VTVT SX Plus,2017,59000,Petrol,Manual,650000.0,9,Hyundai,72222.22,6555.56,Non-Luxury
Toyota Innova Crysta,2.4 G MT,2020,139000,Diesel,Manual,1485000.0,6,Toyota,247500.0,23166.67,Non-Luxury
Maruti Suzuki Ertiga,VXI,2014,65000,Petrol,Manual,350000.0,12,Maruti Suzuki,29166.67,5416.67,Non-Luxury
Kia Seltos,HTK G,2020,31000,Petrol,Manual,785000.0,6,Kia,130833.33,5166.67,Non-Luxury
Toyota Innova Crysta,2.4 VX MT BSIV,2018,111000,Diesel,Manual,1400000.0,8,Toyota,175000.0,13875.0,Non-Luxury
Ford Ecosport,1.5 Petrol Titanium Plus AT,2021,25000,Petrol,Automatic,875000.0,5,Ford,175000.0,5000.0,Non-Luxury
Skoda Superb,Laurin & klement BSVI,2022,30000,Petrol,Automatic,2500000.0,4,Skoda,625000.0,7500.0,Non-Luxury
Land Rover Range Rover Velar,R-Dynamic S Diesel,2022,39000,Diesel,Automatic,6199000.0,4,Land Rover,1549750.0,9750.0,Luxury
Kia Seltos,GTK,2019,31000,Petrol,Manual,1050000.0,7,Kia,150000.0,4428.57,Non-Luxury
Hyundai Aura,S CNG,2021,72000,CNG,Manual,565000.0,5,Hyundai,113000.0,14400.0,Non-Luxury
MG Hector,Smart DCT,2019,47968,Petrol,Automatic,736000.0,7,MG,105142.86,6852.57,Non-Luxury
Audi Q7,40 TFSI Quattro Technology,2019,60000,Petrol,Automatic,3350000.0,7,Audi,478571.43,8571.43,Non-Luxury
Jaguar XF,2.0 Diesel Prestige,2015,76000,Diesel,Automatic,790000.0,11,Jaguar,71818.18,6909.09,Non-Luxury
Hyundai i20,Sportz,2024,32000,Petrol,Manual,692000.0,2,Hyundai,346000.0,16000.0,Non-Luxury
Toyota Innova Crysta,2.4 ZX 7 STR AT,2021,88000,Diesel,Automatic,2050000.0,5,Toyota,410000.0,17600.0,Non-Luxury
Hyundai Creta,S BSVI,2021,64856,Petrol,Manual,900000.0,5,Hyundai,180000.0,12971.2,Non-Luxury
Volvo XC60,Inscription D5,2021,35000,Diesel,Automatic,3500000.0,5,Volvo,700000.0,7000.0,Non-Luxury
Mercedes-Benz E-Class,Exclusive E 220 d BSIV,2019,70000,Diesel,Automatic,2450000.0,7,Mercedes-Benz,350000.0,10000.0,Non-Luxury
Kia Seltos,HTK Plus Turbo iMT,2023,50000,Petrol,Manual,1175000.0,3,Kia,391666.67,16666.67,Non-Luxury
Kia Seltos,HTK Plus G,2020,59200,Petrol,Manual,750000.0,6,Kia,125000.0,9866.67,Non-Luxury
Kia Seltos,HTX Diesel,2020,44439,Diesel,Manual,808000.0,6,Kia,134666.67,7406.5,Non-Luxury
Hyundai Kona,Premium,2022,60000,Electric,Automatic,1650000.0,4,Hyundai,412500.0,15000.0,Non-Luxury
MG ZS EV,Excite,2023,60000,Electric,Automatic,1550000.0,3,MG,516666.67,20000.0,Non-Luxury
Toyota Innova Crysta,2.8 GX AT BSIV,2019,125000,Diesel,Automatic,1380000.0,7,Toyota,197142.86,17857.14,Non-Luxury
Mercedes-Benz E-Class,Exclusive E 200,2023,60000,Petrol,Automatic,4690000.0,3,Mercedes-Benz,1563333.33,20000.0,Non-Luxury
Toyota Fortuner,2.8 4WD AT BSIV,2017,185000,Diesel,Automatic,1990000.0,9,Toyota,221111.11,20555.56,Non-Luxury
Lexus ES,300h Exquisite,2022,12000,Petrol,Automatic,4600000.0,4,Lexus,1150000.0,3000.0,Non-Luxury
Hyundai Grand i10,Magna,2017,12000,Petrol,Manual,365000.0,9,Hyundai,40555.56,1333.33,Non-Luxury
Hyundai Alcazar,Prestige 7-Seater,2022,46221,Petrol,Manual,1073000.0,4,Hyundai,268250.0,11555.25,Non-Luxury
Audi A6,45 TFSI Premium Plus BSVI,2020,24577,Petrol,Automatic,2700000.0,6,Audi,450000.0,4096.17,Non-Luxury
Kia Sonet,HTX Plus Turbo iMT BSVI,2021,28278,Petrol,Manual,610000.0,5,Kia,122000.0,5655.6,Non-Luxury
MG Hector,1.5 Turbo Smart,2021,42511,Petrol,Manual,1207000.0,5,MG,241400.0,8502.2,Non-Luxury
Hyundai Alcazar,Platinum (O) Turbo DCT 7 Seater,2023,43000,Petrol,Automatic,1550000.0,3,Hyundai,516666.67,14333.33,Non-Luxury
BMW X1,sDrive 20d xLine,2020,47000,Diesel,Automatic,2050000.0,6,BMW,341666.67,7833.33,Non-Luxury
Kia Seltos,GTX Plus DCT,2023,24000,Petrol,Automatic,1450000.0,3,Kia,483333.33,8000.0,Non-Luxury
Hyundai Creta,S (O) iVT,2024,22000,Petrol,Automatic,1495000.0,2,Hyundai,747500.0,11000.0,Non-Luxury
Hyundai Grand i10,1.2 Kappa Asta,2018,30000,Petrol,Manual,430000.0,8,Hyundai,53750.0,3750.0,Non-Luxury
Land Rover Discovery,HSE 2.0 SD4,2017,46000,Petrol,Automatic,1990000.0,9,Land Rover,221111.11,5111.11,Non-Luxury
Hyundai Grand i10,1.2 Kappa Magna BSIV,2017,62000,Petrol,Manual,321000.0,9,Hyundai,35666.67,6888.89,Non-Luxury
Volkswagen Tiguan,2.0 TDI Highline,2020,65000,Diesel,Automatic,1685000.0000000002,6,Volkswagen,280833.33,10833.33,Non-Luxury
Hyundai Creta,1.6 CRDi AT SX Plus,2018,75000,Diesel,Automatic,675000.0,8,Hyundai,84375.0,9375.0,Non-Luxury
Mahindra XUV700,AX7 6Str AT,2024,16000,Petrol,Automatic,1975000.0,2,Mahindra,987500.0,8000.0,Non-Luxury
Toyota Innova Crysta,2.4 GX 7 STR AT,2020,132000,Diesel,Automatic,1490000.0,6,Toyota,248333.33,22000.0,Non-Luxury
Land Rover Discovery,HSE 2.0 SD4,2017,150000,Petrol,Automatic,1700000.0,9,Land Rover,188888.89,16666.67,Non-Luxury
Mercedes-Benz E-Class,E 200 CGI,2014,64000,Petrol,Automatic,1250000.0,12,Mercedes-Benz,104166.67,5333.33,Non-Luxury
Hyundai Creta,1.6 VTVT AT SX Plus,2019,26000,Petrol,Automatic,875000.0,7,Hyundai,125000.0,3714.29,Non-Luxury
Kia Carens Clavis,HTX Plus Turbo,2025,5000,Petrol,Manual,1875000.0,1,Kia,1875000.0,5000.0,Non-Luxury
Audi Q7,45 TDI Quattro Premium Plus,2019,157000,Diesel,Automatic,2590000.0,7,Audi,370000.0,22428.57,Non-Luxury
MG Hector,Sharp AT BSIV,2020,34000,Petrol,Automatic,1100000.0,6,MG,183333.33,5666.67,Non-Luxury
Mahindra XUV700,MX BSVI,2022,94000,Petrol,Manual,980000.0,4,Mahindra,245000.0,23500.0,Non-Luxury
Hyundai Grand i10,Sportz Plus,2017,72000,Petrol,Manual,385000.0,9,Hyundai,42777.78,8000.0,Non-Luxury
Toyota Innova Crysta,2.7 GX AT BSIV,2017,82000,Petrol,Automatic,1050000.0,9,Toyota,116666.67,9111.11,Non-Luxury
Toyota Innova Crysta,2.4 G 7 STR,2022,69000,Diesel,Manual,1875000.0,4,Toyota,468750.0,17250.0,Non-Luxury
Kia Seltos,GTX Plus DCT,2023,39000,Petrol,Automatic,1495000.0,3,Kia,498333.33,13000.0,Non-Luxury
Maruti Suzuki Ciaz,Zeta BSIV,2019,58000,Petrol,Manual,549000.0,7,Maruti Suzuki,78428.57,8285.71,Non-Luxury
Tata Nexon,XM S BSVI,2022,60000,Petrol,Manual,800000.0,4,Tata,200000.0,15000.0,Non-Luxury
Honda City,i VTEC V,2015,46000,Petrol,Manual,495000.0,11,Honda,45000.0,4181.82,Non-Luxury
Honda City,VX MT,2022,12053,Petrol,Manual,1025000.0,4,Honda,256250.0,3013.25,Non-Luxury
Toyota Fortuner,2.8 2WD AT BSIV,2018,78000,Diesel,Automatic,2325000.0,8,Toyota,290625.0,9750.0,Non-Luxury
Hyundai Creta,1.6 VTVT SX Plus,2016,57000,Petrol,Manual,575000.0,10,Hyundai,57500.0,5700.0,Non-Luxury
Mercedes-Benz E-Class,Exclusive E 200 BSVI,2021,45000,Petrol,Automatic,3750000.0,5,Mercedes-Benz,750000.0,9000.0,Non-Luxury
Volkswagen Taigun,1.0 Comfortline,2024,13240,Petrol,Manual,886999.9999999999,2,Volkswagen,443500.0,6620.0,Non-Luxury
Ford Freestyle,Titanium Petrol BSIV,2018,56000,Petrol,Manual,375000.0,8,Ford,46875.0,7000.0,Non-Luxury
Honda City,i VTEC V,2015,119495,Petrol,Manual,370000.0,11,Honda,33636.36,10863.18,Non-Luxury
Audi Q3 Sportback,40TFSI Quattro,2024,17000,Petrol,Automatic,4100000.0,2,Audi,2050000.0,8500.0,Non-Luxury
Honda Jazz,V,2019,40000,Petrol,Manual,485000.0,7,Honda,69285.71,5714.29,Non-Luxury
Toyota Fortuner,4X2 Diesel AT,2023,90000,Diesel,Automatic,3000000.0,3,Toyota,1000000.0,30000.0,Non-Luxury
Mercedes-Benz C-Class,C 200 CGI,2015,64586,Petrol,Automatic,1500000.0,11,Mercedes-Benz,136363.64,5871.45,Non-Luxury
Land Rover Defender,2.0 l Petrol 110 X-Dynamic HSE,2024,24000,Petrol,Automatic,11100000.000000002,2,Land Rover,5550000.0,12000.0,Luxury
Honda WR-V,i-VTEC VX,2017,123355,Petrol,Manual,350000.0,9,Honda,38888.89,13706.11,Non-Luxury
Hyundai Creta,SX Diesel BSVI,2021,54000,Diesel,Manual,1250000.0,5,Hyundai,250000.0,10800.0,Non-Luxury
Toyota Innova Crysta,2.4 ZX MT BSIV,2018,43000,Diesel,Manual,1475000.0,8,Toyota,184375.0,5375.0,Non-Luxury
Kia Sonet,GTX Plus Diesel AT BSVI,2021,50000,Diesel,Automatic,790000.0,5,Kia,158000.0,10000.0,Non-Luxury
Toyota Fortuner,2.8 2WD AT BSIV,2018,105000,Diesel,Automatic,2200000.0,8,Toyota,275000.0,13125.0,Non-Luxury
Lexus ES,300h Exquisite,2022,12000,Petrol,Automatic,4599000.0,4,Lexus,1149750.0,3000.0,Non-Luxury
Honda Amaze 2nd Gen,VX CVT BSVI,2021,33000,Petrol,Automatic,675000.0,5,Honda,135000.0,6600.0,Non-Luxury
MG Hector,Sharp CVT,2021,55000,Petrol,Automatic,1125000.0,5,MG,225000.0,11000.0,Non-Luxury
BMW 3 Series GT,Luxury Line,2016,91500,Diesel,Automatic,1350000.0,10,BMW,135000.0,9150.0,Non-Luxury
MG Hector Plus,Sharp CVT,2021,37052,Petrol,Automatic,1275000.0,5,MG,255000.0,7410.4,Non-Luxury
Maruti Suzuki Baleno,Delta,2021,30000,Petrol,Manual,475000.0,5,Maruti Suzuki,95000.0,6000.0,Non-Luxury
Mercedes-Benz GLS,350d 4MATIC,2018,80000,Diesel,Automatic,2990000.0,8,Mercedes-Benz,373750.0,10000.0,Non-Luxury
Jaguar F-Pace,Prestige 2.0 Petrol,2019,41000,Petrol,Automatic,3900000.0,7,Jaguar,557142.86,5857.14,Non-Luxury
Tata Safari,XT Plus BSVI,2021,70000,Diesel,Manual,1050000.0,5,Tata,210000.0,14000.0,Non-Luxury
Honda City,i VTEC V,2016,51000,Petrol,Manual,450000.0,10,Honda,45000.0,5100.0,Non-Luxury
Audi Q5,Technology BSVI,2023,25000,Petrol,Automatic,4400000.0,3,Audi,1466666.67,8333.33,Non-Luxury
Toyota Innova Crysta,2.4 ZX 7 STR AT,2022,60000,Diesel,Automatic,2250000.0,4,Toyota,562500.0,15000.0,Non-Luxury
Jeep Compass,Model S DCT BSVI,2023,60000,Petrol,Automatic,2000000.0,3,Jeep,666666.67,20000.0,Non-Luxury
Audi Q3,Premium Plus,2023,54000,Petrol,Automatic,2900000.0,3,Audi,966666.67,18000.0,Non-Luxury
Mercedes-Benz GLA Class,200 CDI,2017,34000,Diesel,Automatic,1625000.0,9,Mercedes-Benz,180555.56,3777.78,Non-Luxury
Mahindra Thar,LX Hard Top Diesel,2023,20400,Diesel,Manual,1250000.0,3,Mahindra,416666.67,6800.0,Non-Luxury
Kia Seltos,GTX Plus DCT,2021,48023,Petrol,Automatic,1225000.0,5,Kia,245000.0,9604.6,Non-Luxury
Mercedes-Benz GLC,200,2020,31000,Petrol,Automatic,3690000.0,6,Mercedes-Benz,615000.0,5166.67,Non-Luxury
Kia Carens,Prestige BSVI,2022,36000,Petrol,Manual,965000.0,4,Kia,241250.0,9000.0,Non-Luxury
Mahindra Scorpio N,Z8 AT,2024,27000,Petrol,Automatic,1875000.0,2,Mahindra,937500.0,13500.0,Non-Luxury
Mercedes-Benz E-Class,E 200 CGI,2015,55000,Petrol,Automatic,1525000.0,11,Mercedes-Benz,138636.36,5000.0,Non-Luxury
Audi Q3,30 TFSI Premium FWD,2017,57000,Petrol,Automatic,1625000.0,9,Audi,180555.56,6333.33,Non-Luxury
Kia Seltos,HTK G,2020,75000,Petrol,Manual,790000.0,6,Kia,131666.67,12500.0,Non-Luxury
BMW 5 Series,530i M Sport BSVI,2022,52357,Petrol,Automatic,4500000.0,4,BMW,1125000.0,13089.25,Non-Luxury
Hyundai Creta,SX Premium iVT,2025,19000,Petrol,Automatic,1785000.0000000002,1,Hyundai,1785000.0,19000.0,Non-Luxury
Honda City,CVT,2023,14091,Petrol,Automatic,1152000.0,3,Honda,384000.0,4697.0,Non-Luxury
Honda Jazz,1.2 V AT i VTEC,2017,89904,Petrol,Automatic,348000.0,9,Honda,38666.67,9989.33,Non-Luxury
Ford Endeavour,Titanium Plus 4X2,2019,50000,Diesel,Automatic,2300000.0,7,Ford,328571.43,7142.86,Non-Luxury
